EventTime	Origin	Destination
2020.83603	UNKNOWN	United Kingdom
2020.83718	Germany	Slovakia
2020.83997	United Kingdom	Netherlands
2020.84153	Iran	Turkey
2020.84313	United Kingdom	Brazil
2020.84423	United Kingdom	Sweden
2020.84543	United Kingdom	Italy
2020.84853	United Kingdom	Poland
2020.8485699999999	United Kingdom	Portugal
2020.85097	United Kingdom	France
2020.85185	United Kingdom	Spain
2020.85234	United Kingdom	Italy
2020.85517	United Kingdom	Spain
2020.85545	United Kingdom	Germany
2020.86223	United Kingdom	Argentina
2020.86481	United Kingdom	Portugal
2020.86552	United Kingdom	Germany
2020.86829	United Kingdom	India
2020.8694699999999	United Kingdom	France
2020.86949	United Kingdom	Spain
2020.86997	United Kingdom	Spain
2020.87111	United Kingdom	Netherlands
2020.87275	United Kingdom	Finland
2020.87444	United Kingdom	Poland
2020.8755899999999	Slovakia	Germany
2020.87563	United Kingdom	Iraq
2020.8772999999999	United Kingdom	Italy
2020.87832	United Kingdom	Kenya
2020.87877	United Kingdom	France
2020.87969	United Kingdom	France
2020.87976	Poland	United Kingdom
2020.87976	Belgium	France
2020.88358	United Kingdom	Spain
2020.8836099999999	United Kingdom	India
2020.88414	United Kingdom	Germany
2020.88476	United Kingdom	USA
2020.88522	United Kingdom	USA
2020.88611	Slovakia	Poland
2020.88664	United Kingdom	Iraq
2020.88707	United Kingdom	Italy
2020.88918	USA	Portugal
2020.88923	United Kingdom	Germany
2020.89007	United Kingdom	India
2020.89047	United Kingdom	USA
2020.89091	United Kingdom	India
2020.89121	United Kingdom	Italy
2020.893	United Kingdom	Spain
2020.8933299999999	United Kingdom	Ireland
2020.8938699999999	United Kingdom	Poland
2020.89628	United Kingdom	Bulgaria
2020.89636	United Kingdom	Spain
2020.89642	Sweden	Germany
2020.8974799999999	United Kingdom	Netherlands
2020.898	United Kingdom	Italy
2020.89971	United Kingdom	Spain
2020.90247	United Kingdom	Brazil
2020.9025	United Kingdom	Poland
2020.90265	Nigeria	USA
2020.90353	United Kingdom	Spain
2020.90488	United Kingdom	Portugal
2020.90521	United Kingdom	Ireland
2020.90554	United Kingdom	Portugal
2020.9062099999999	United Kingdom	France
2020.90679	United Kingdom	Poland
2020.90707	United Kingdom	India
2020.90707	United Kingdom	India
2020.90754	United Kingdom	Turkey
2020.90814	United Kingdom	Spain
2020.90825	United Kingdom	Brazil
2020.90848	United Kingdom	Portugal
2020.9085499999999	United Kingdom	Jordan
2020.90935	United Kingdom	Spain
2020.9102599999999	United Kingdom	Pakistan
2020.9103499999999	Netherlands	Spain
2020.91245	United Kingdom	Turkey
2020.9138699999999	United Kingdom	India
2020.91431	United Kingdom	Japan
2020.91508	United Kingdom	USA
2020.91533	United Kingdom	Netherlands
2020.91743	United Kingdom	Belgium
2020.91764	United Kingdom	Russia
2020.91804	United Kingdom	India
2020.91816	France	USA
2020.9183	United Kingdom	Bulgaria
2020.91897	United Kingdom	Poland
2020.9217899999999	United Kingdom	Latvia
2020.9217899999999	United Kingdom	Italy
2020.92222	United Kingdom	Spain
2020.92226	United Kingdom	USA
2020.9229599999999	Germany	Albania
2020.92303	United Kingdom	Brazil
2020.9232	United Kingdom	Spain
2020.92356	United Kingdom	Turkey
2020.9242299999999	France	Russia
2020.92472	Slovakia	Germany
2020.92553	United Kingdom	Chile
2020.92609	United Kingdom	France
2020.9261999999999	United Kingdom	India
2020.92645	United Kingdom	India
2020.92646	United Kingdom	France
2020.92744	United Kingdom	India
2020.9275499999999	United Kingdom	Germany
2020.92821	United Kingdom	Italy
2020.9282699999999	France	Philippines
2020.92853	United Kingdom	Poland
2020.9285399999999	United Kingdom	Portugal
2020.92859	France	Germany
2020.92866	United Kingdom	Netherlands
2020.92874	United Kingdom	France
2020.92942	United Kingdom	Belgium
