EventTime	Origin	Destination
2020.83879	UNKNOWN	United Kingdom
2020.83927	United Kingdom	Ireland
2020.83932	United Kingdom	Germany
2020.83978	USA	United Kingdom
2020.83992	Poland	United Kingdom
2020.84128	United Kingdom	Portugal
2020.84211	United Kingdom	India
2020.84221	Germany	Italy
2020.84226	United Kingdom	Netherlands
2020.84228	Turkey	Germany
2020.84291	United Kingdom	Netherlands
2020.84324	India	France
2020.84331	United Kingdom	France
2020.84377	Poland	Romania
2020.84424	United Kingdom	Sweden
2020.84525	United Kingdom	Poland
2020.84537	USA	India
2020.84586	United Kingdom	USA
2020.84631	United Kingdom	France
2020.84658	United Kingdom	Spain
2020.84684	United Kingdom	Russia
2020.84736	United Kingdom	Lithuania
2020.84747	United Kingdom	USA
2020.84779	United Kingdom	France
2020.8487499999999	Israel	Netherlands
2020.8499199999999	United Kingdom	Poland
2020.85089	United Kingdom	Bulgaria
2020.85143	Germany	Austria
2020.85226	India	United Kingdom
2020.8528	United Kingdom	Greece
2020.85317	United Kingdom	Latvia
2020.85348	France	Jordan
2020.85366	United Kingdom	Poland
2020.85428	United Kingdom	Bulgaria
2020.85478	Slovakia	Poland
2020.85519	United Kingdom	Spain
2020.8552	United Kingdom	Germany
2020.85749	France	Spain
2020.85763	United Kingdom	USA
2020.85778	United Kingdom	Sweden
2020.85967	Germany	Slovakia
2020.85972	United Kingdom	Brazil
2020.85989	United Kingdom	Romania
2020.85998	United Kingdom	Italy
2020.86016	United Kingdom	Spain
2020.86077	United Kingdom	France
2020.8613599999999	United Kingdom	Kenya
2020.86158	United Kingdom	Poland
2020.86192	United Kingdom	Portugal
2020.86303	United Kingdom	Turkey
2020.86338	Germany	United Kingdom
2020.86356	France	Germany
2020.86366	United Kingdom	Poland
2020.8638	United Kingdom	France
2020.86402	Germany	USA
2020.86419	United Kingdom	Spain
2020.86446	France	Germany
2020.86455	Israel	United Kingdom
2020.86466	United Kingdom	Spain
2020.8646899999999	United Kingdom	Italy
2020.86504	France	Spain
2020.8652299999999	United Kingdom	Germany
2020.86558	Poland	Spain
2020.86588	United Kingdom	Poland
2020.86659	France	USA
2020.86811	United Kingdom	Chile
2020.86849	United Kingdom	Romania
2020.86898	United Kingdom	USA
2020.86949	Germany	Slovakia
2020.86983	United Kingdom	India
2020.86985	United Kingdom	Denmark
2020.8704	United Kingdom	USA
2020.87098	United Kingdom	Italy
2020.8713	United Kingdom	Argentina
2020.8721	Slovakia	Germany
2020.8731	United Kingdom	Ireland
2020.87315	Germany	Slovakia
2020.87322	United Kingdom	Romania
2020.87362	Germany	Italy
2020.87415	United Kingdom	Sweden
2020.8747799999999	United Kingdom	Belgium
2020.87546	United Kingdom	USA
2020.87597	India	Sweden
2020.8767599999999	United Kingdom	Netherlands
2020.87679	United Kingdom	India
2020.87682	Italy	Greece
2020.87752	Germany	Slovakia
2020.87786	United Kingdom	Ireland
2020.87977	Belgium	France
2020.88039	United Kingdom	Netherlands
2020.88052	United Kingdom	Romania
2020.88091	United Kingdom	Turkey
2020.88134	United Kingdom	Italy
2020.88139	United Kingdom	Portugal
2020.88237	United Kingdom	Canada
2020.88289	United Kingdom	Poland
2020.8834	Germany	India
2020.88376	Israel	USA
2020.884	Germany	Poland
2020.8842	United Kingdom	Turkey
2020.88426	France	Poland
2020.88437	United Kingdom	Turkey
2020.88462	United Kingdom	India
2020.88524	United Kingdom	USA
2020.8856	Germany	Hungary
2020.88593	United Kingdom	Mexico
2020.88656	Spain	Sweden
2020.8866	United Kingdom	France
