EventTime	Origin	Destination
2021.89583	South Africa	Botswana
2021.92871	South Africa	Botswana
2021.89311	South Africa	United Kingdom
2021.93145	United Kingdom	Australia
2021.91774	South Africa	USA
2021.93418	South Africa	USA
2021.91775	South Africa	Botswana
2021.88514	South Africa	USA
2021.94241	South Africa	USA
2021.88488	South Africa	Sweden
2021.93968	South Africa	Germany
2021.93147	South Africa	Japan
2021.94791	Japan	India
2021.95338	South Africa	USA
2021.91775	South Africa	Botswana
2021.94789	Botswana	South Africa
2021.9232200000001	South Africa	Botswana
2021.92597	South Africa	Botswana
2021.91775	South Africa	Botswana
2021.91501	South Africa	Botswana
2021.95063	South Africa	Georgia
2021.96706	South Africa	India
2021.92597	South Africa	France
2021.95063	France	Luxembourg
2021.95063	Luxembourg	Morocco
2021.85558	South Africa	Botswana
2021.863	South Africa	Botswana
2021.87659	South Africa	Botswana
2021.93418	South Africa	Ireland
2021.8931	South Africa	Mozambique
2021.94788	South Africa	France
2021.95609	South Africa	Australia
2021.90951	South Africa	Switzerland
2021.96704	South Africa	Germany
2021.91206	South Africa	United Kingdom
2021.9369100000001	United Kingdom	Mayotte
2021.86482	South Africa	Botswana
2021.92868	Botswana	Switzerland
2021.92868	Botswana	Germany
2021.9369	Botswana	France
2021.9506000000001	Botswana	France
2021.9506000000001	Botswana	Trinidad and Tobago
2021.9643	Botswana	Pakistan
2021.89033	Botswana	South Africa
2021.90677	Botswana	Germany
2021.92869	Botswana	France
2021.9369100000001	Botswana	United Kingdom
2021.9369100000001	Botswana	Germany
2021.93965	Germany	New Zealand
2021.93143	Botswana	South Africa
2021.93143	South Africa	Switzerland
2021.93143	Botswana	United Kingdom
2021.93417	Botswana	Germany
2021.94803	Germany	France
2021.95335	France	Mauritius
2021.96157	France	Sweden
2021.96979	France	Sweden
2021.96979	Sweden	China
2021.92871	South Africa	Botswana
2021.92871	South Africa	Botswana
2021.93419	South Africa	USA
2021.8610800000001	South Africa	Botswana
2021.88762	Botswana	Japan
2021.90954	Botswana	Chile
2021.94515	South Africa	Sweden
2021.95337	South Africa	USA
2021.87392	South Africa	Botswana
2021.8931	Botswana	South Africa
2021.9205	Botswana	South Africa
2021.8899000000001	South Africa	United Kingdom
2021.95063	South Africa	USA
2021.89584	South Africa	Botswana
2021.82892	South Africa	Botswana
2021.89584	Botswana	South Africa
2021.90954	Botswana	Austria
2021.90954	Botswana	South Africa
2021.92049	Botswana	South Africa
2021.92871	Botswana	USA
2021.8832	Botswana	USA
2021.93419	USA	Germany
2021.95337	USA	France
2021.84431	Botswana	South Africa
2021.95611	South Africa	USA
2021.86844	South Africa	Botswana
2021.89859	South Africa	USA
2021.90971	South Africa	Botswana
2021.91229	Botswana	Belgium
2021.90971	South Africa	Botswana
2021.93695	Botswana	South Africa
2021.93721	Botswana	USA
2021.94517	USA	New Zealand
2021.8519900000001	South Africa	Namibia
2021.87391	South Africa	Botswana
2021.87391	South Africa	Botswana
2021.90973	South Africa	Botswana
2021.93693	Botswana	USA
2021.96981	USA	South Africa
2021.95063	USA	New Zealand
2021.96981	South Africa	France
2021.95063	South Africa	USA
2021.80968	South Africa	Botswana
2021.93419	Botswana	New Zealand
2021.92049	South Africa	United Kingdom
2021.94241	South Africa	United Kingdom
2021.87053	South Africa	United Kingdom
2021.90131	United Kingdom	South Africa
2021.95063	United Kingdom	USA
2021.97254	South Africa	United Kingdom
2021.95062	South Africa	Georgia
2021.92049	South Africa	Canada
2021.93145	South Africa	United Kingdom
2021.90679	South Africa	Nigeria
2021.93145	South Africa	Australia
2021.96981	South Africa	United Kingdom
2021.91706	South Africa	United Kingdom
2021.94515	United Kingdom	Israel
2021.84612	South Africa	Israel
2021.88182	Israel	Russia
2021.90955	Israel	Zambia
2021.91229	Israel	Japan
2021.8852200000001	Israel	Republic of the Congo
2021.96982	Republic of the Congo	Indonesia
2021.95338	Republic of the Congo	USA
2021.95612	USA	France
2021.93145	South Africa	United Kingdom
2021.90531	South Africa	USA
2021.88214	South Africa	Mozambique
2021.95063	South Africa	USA
2021.92049	South Africa	Senegal
2021.83676	South Africa	United Kingdom
2021.9615900000001	United Kingdom	South Africa
2021.91776	South Africa	Botswana
2021.87392	South Africa	Ghana
2021.92872	South Africa	Botswana
2021.95064	South Africa	New Zealand
2021.84104	South Africa	Botswana
2021.90131	Botswana	South Africa
2021.8915200000001	Botswana	Germany
2021.91501	Germany	Montenegro
