EventTime	Origin	Destination
2021.8341100000002	UNKNOWN	South Africa
2021.83454	South Africa	United Kingdom
2021.8352800000002	United Kingdom	Brazil
2021.8358100000003	United Kingdom	USA
2021.8362200000001	USA	Turkey
2021.8367	Brazil	Iran
2021.83707	USA	Lithuania
2021.8371100000002	USA	Canada
2021.83777	USA	Brazil
2021.83797	United Kingdom	France
2021.83813	Italy	Australia
2021.83822	United Kingdom	Greece
2021.83833	USA	Italy
2021.8386100000002	United Kingdom	Poland
2021.8394300000002	United Kingdom	Moldova
2021.83959	South Africa	United Kingdom
2021.83967	Netherlands	Brazil
2021.8404500000001	USA	Brazil
2021.8406100000002	India	Turkey
2021.8407100000002	United Kingdom	USA
2021.8407200000001	USA	United Kingdom
2021.8408200000001	USA	South Africa
2021.8409600000002	United Kingdom	Portugal
2021.8412200000002	United Kingdom	France
2021.8414400000001	USA	Germany
2021.8415400000001	United Kingdom	Italy
2021.84157	Peru	Brazil
2021.84174	Brazil	Austria
2021.8418000000001	USA	Czech Republic
2021.8420400000002	USA	Brazil
2021.84218	USA	Peru
2021.8424800000003	Italy	Ireland
2021.8432400000002	Poland	Spain
2021.8435600000003	USA	France
2021.8436600000002	USA	France
2021.8438600000002	USA	Germany
2021.8441900000003	France	Poland
2021.8448200000003	United Kingdom	Italy
2021.8454900000002	USA	Germany
2021.8455600000002	United Kingdom	Belgium
2021.8458400000002	United Kingdom	Poland
2021.8470000000002	USA	Peru
2021.8471100000002	USA	Brazil
2021.8474500000002	Spain	Italy
2021.8474700000002	Spain	Germany
2021.8478200000002	USA	South Africa
2021.8489100000002	USA	Peru
2021.84894	USA	Brazil
2021.8492700000002	France	Slovakia
2021.84965	USA	Australia
2021.8498700000002	USA	Canada
2021.8501	Italy	Mexico
2021.8501300000003	United Kingdom	Italy
2021.85056	USA	Netherlands
2021.8508100000001	Turkey	Spain
2021.8510700000002	South Africa	USA
2021.8512500000002	USA	France
2021.85145	Brazil	Switzerland
2021.8515300000001	USA	South Africa
2021.8515700000003	France	United Kingdom
2021.8522000000003	USA	United Kingdom
2021.8523300000002	USA	Czech Republic
2021.8524200000002	Italy	Norway
2021.8527800000002	Netherlands	Belgium
2021.8530300000002	United Kingdom	Spain
2021.85308	United Kingdom	Italy
2021.8532900000002	USA	South Africa
2021.85382	Australia	Italy
2021.8548700000001	USA	Colombia
2021.8560900000002	USA	United Kingdom
2021.8564700000002	France	Belgium
2021.85686	United Kingdom	Belgium
2021.8573000000001	USA	Brazil
2021.8575300000002	USA	Netherlands
2021.8580600000003	Germany	Austria
2021.85875	USA	Iran
2021.85876	USA	Netherlands
2021.8588100000002	USA	South Africa
2021.85902	Brazil	USA
2021.85976	USA	Colombia
2021.86118	USA	Colombia
2021.86119	USA	Thailand
2021.8612500000002	United Kingdom	Israel
2021.8614800000003	USA	Brazil
2021.8616900000002	USA	Brazil
2021.86174	United Kingdom	Slovenia
2021.86199	United Kingdom	Sweden
2021.8624300000001	Brazil	Denmark
2021.8626500000003	USA	Argentina
2021.86289	United Kingdom	France
2021.8629	United Kingdom	Finland
2021.86343	United Kingdom	Germany
2021.86353	United Kingdom	Brazil
2021.86389	United Kingdom	Czech Republic
2021.8641000000002	Spain	United Kingdom
2021.86424	USA	Netherlands
2021.86426	USA	United Kingdom
2021.86444	United Kingdom	Germany
2021.8644600000002	USA	South Africa
2021.8644700000002	USA	Mexico
2021.8652700000002	USA	Italy
2021.8653800000002	USA	United Kingdom
2021.8654500000002	United Kingdom	Ireland
2021.8654500000002	India	Turkey
2021.8655600000002	United Kingdom	Germany
2021.8657500000002	USA	Morocco
2021.86579	United Kingdom	Czech Republic
2021.8660200000002	France	Australia
2021.8661700000002	USA	Brazil
2021.86623	USA	France
2021.8662900000002	Australia	Switzerland
2021.8663600000002	United Kingdom	Italy
2021.8664800000001	United Kingdom	Germany
2021.8664800000001	United Kingdom	Italy
2021.8665	USA	France
2021.8665700000001	United Kingdom	Italy
2021.86669	USA	Lithuania
2021.8668100000002	USA	Spain
2021.8669800000002	USA	Austria
2021.8669900000002	Norway	South Africa
2021.8669900000002	USA	South Africa
2021.8670000000002	USA	South Africa
2021.8670000000002	France	Germany
2021.8670000000002	USA	South Africa
2021.8670100000002	USA	South Africa
2021.8670600000003	USA	Germany
2021.8671100000001	USA	France
2021.86714	USA	France
2021.8671500000003	USA	Brazil
2021.8671600000002	USA	Brazil
2021.86741	France	India
2021.8683	Spain	Italy
2021.8684700000001	Italy	Poland
2021.8686900000002	USA	Austria
2021.8687900000002	USA	Mexico
2021.86884	Belgium	Italy
2021.8690000000001	Italy	USA
2021.8695100000002	USA	Brazil
2021.8697100000002	South Africa	Belgium
2021.8697200000001	Australia	South Africa
2021.8697300000001	USA	Netherlands
2021.86974	USA	South Africa
2021.8699900000001	USA	Ireland
2021.87037	USA	France
2021.8705100000002	USA	Italy
2021.8705400000001	Belgium	Brazil
2021.87091	United Kingdom	Spain
2021.8709500000002	USA	Mexico
2021.87136	USA	Belgium
2021.8715900000002	USA	Israel
2021.87192	Brazil	Belgium
2021.8720400000002	United Kingdom	Czech Republic
2021.8721300000002	France	Germany
2021.87246	USA	South Africa
2021.87246	Turkey	Austria
2021.8725000000002	Austria	Italy
2021.87264	USA	Israel
2021.87264	USA	France
2021.8728400000002	United Kingdom	Germany
2021.8728600000002	France	Turkey
2021.8732900000002	Poland	Italy
2021.8736500000002	Italy	USA
2021.8737	United Kingdom	Italy
2021.87424	USA	Slovakia
2021.8743700000002	United Kingdom	France
2021.8743700000002	France	Brazil
2021.8749200000002	United Kingdom	Spain
2021.8751300000001	USA	Italy
2021.8751800000002	USA	Ireland
2021.8752000000002	Austria	South Africa
2021.8752000000002	USA	France
2021.8752100000002	South Africa	Germany
2021.8752200000001	USA	Ireland
2021.8752200000001	USA	South Africa
2021.87543	Spain	Italy
2021.8755500000002	France	Indonesia
2021.8756300000002	France	USA
2021.8757100000003	France	Germany
2021.87578	United Kingdom	Poland
2021.87604	USA	Israel
2021.87623	Spain	Portugal
2021.8766100000003	Switzerland	Brazil
2021.87676	USA	Netherlands
2021.8769100000002	United Kingdom	South Africa
2021.8769800000002	USA	Germany
2021.87712	Italy	France
2021.8779100000002	France	Belgium
2021.87794	USA	South Africa
2021.87795	South Africa	Netherlands
2021.87795	USA	Austria
2021.8779600000003	United Kingdom	Lebanon
2021.8779800000002	USA	France
2021.8783400000002	Brazil	United Kingdom
2021.8784600000001	Norway	Italy
2021.8785900000003	Spain	Italy
2021.87893	USA	Brazil
2021.8790000000001	Spain	Australia
2021.8790800000002	USA	Turkey
2021.8793500000002	France	Italy
2021.87937	United Kingdom	France
2021.8794000000003	Spain	Switzerland
2021.8795900000002	Switzerland	Croatia
2021.8802400000002	USA	Italy
2021.88027	USA	Israel
2021.8803900000003	Spain	Italy
2021.88063	USA	Netherlands
2021.8806700000002	South Africa	Lebanon
2021.8806800000002	Italy	Germany
2021.8806900000002	Australia	South Africa
2021.88082	United Kingdom	Italy
2021.8809	USA	Turkey
2021.8809400000002	USA	United Kingdom
2021.8809800000001	Peru	France
2021.8815900000002	South Africa	France
2021.88173	United Kingdom	Romania
2021.8817400000003	Germany	Spain
2021.8819200000003	USA	Brazil
2021.8824900000002	USA	United Kingdom
2021.8825700000002	France	Spain
2021.8827500000002	USA	Turkey
2021.8827800000001	United Kingdom	Italy
2021.8828200000003	France	Belgium
2021.88308	USA	France
2021.8832700000003	France	Germany
2021.8834000000002	France	Germany
2021.8834100000001	United Kingdom	Austria
2021.8834500000003	Brazil	Netherlands
2021.8835700000002	USA	Brazil
2021.8836000000001	France	Belgium
2021.88371	Australia	Norway
2021.8837400000002	United Kingdom	Portugal
2021.8838600000001	Germany	Poland
2021.8839300000002	United Kingdom	Portugal
2021.88399	Spain	Israel
2021.8840100000002	USA	Colombia
2021.8841900000002	Netherlands	USA
2021.8842900000002	USA	United Kingdom
2021.88443	Germany	Brazil
2021.8846300000002	Poland	United Kingdom
2021.88507	Germany	Czech Republic
2021.8855	United Kingdom	Brazil
2021.88579	USA	Netherlands
2021.88614	USA	South Africa
2021.88615	United Kingdom	Netherlands
2021.88615	USA	South Africa
2021.8861600000002	USA	South Africa
2021.8861700000002	USA	South Africa
2021.8861800000002	USA	France
2021.8861800000002	USA	South Africa
2021.8861800000002	USA	South Africa
2021.88631	Spain	France
2021.8863500000002	United Kingdom	Italy
2021.8867900000002	United Kingdom	Italy
2021.8870900000002	USA	Brazil
2021.8871600000002	Portugal	United Kingdom
2021.8872700000002	United Kingdom	Poland
2021.8881900000001	USA	Japan
2021.8882700000001	Australia	Turkey
2021.8888800000002	USA	South Africa
2021.8889000000001	Australia	South Africa
2021.8889000000001	USA	South Africa
2021.8889000000001	USA	South Africa
2021.8889100000001	USA	Zimbabwe
2021.8889100000001	USA	Zimbabwe
2021.8889100000001	USA	United Kingdom
2021.88892	USA	France
2021.8889500000002	France	Eswatini
2021.8889600000002	Spain	Peru
2021.8890000000001	United Kingdom	Germany
2021.88912	South Africa	USA
2021.8891800000001	United Kingdom	Italy
2021.8892	Germany	Spain
2021.89028	USA	Chile
2021.8905700000003	Brazil	Greece
2021.89144	Spain	Chile
2021.8915900000002	USA	Russia
2021.8916000000002	USA	Switzerland
2021.89163	USA	Germany
2021.89163	France	Zimbabwe
2021.89164	USA	Belgium
2021.89164	USA	Austria
2021.8916500000003	USA	South Africa
2021.8916600000002	USA	United Kingdom
2021.8916600000002	USA	Zimbabwe
2021.8916600000002	Brazil	France
2021.89173	France	Poland
2021.8920100000003	United Kingdom	Italy
2021.8922100000002	United Kingdom	USA
2021.8922100000002	Belgium	Netherlands
2021.8927600000002	United Kingdom	Italy
2021.8930000000003	United Kingdom	Portugal
2021.89324	USA	Czech Republic
2021.8932700000003	United Kingdom	Portugal
2021.8934600000002	France	Germany
2021.89351	USA	Poland
2021.89371	USA	United Kingdom
2021.8940900000002	USA	United Kingdom
2021.89416	USA	South Korea
2021.8943500000003	USA	Switzerland
2021.8943600000002	USA	South Africa
2021.8943800000002	USA	Ireland
2021.8943800000002	USA	Ireland
2021.8943800000002	Italy	Norway
2021.8943800000002	USA	Germany
2021.8943900000002	USA	Canada
2021.8944000000001	USA	South Africa
2021.89442	USA	South Africa
2021.8949000000002	USA	Turkey
2021.8949300000002	USA	Portugal
2021.89506	United Kingdom	Spain
2021.8953800000002	USA	Chile
