EventTime	Origin	Destination
2021.87906	UNKNOWN	South Africa
2021.87923	South Africa	India
2021.8809700000002	South Africa	United Kingdom
2021.88128	South Africa	United Kingdom
2021.88356	South Africa	Zambia
2021.88366	South Africa	United Kingdom
2021.88407	South Africa	Botswana
2021.88577	Denmark	South Africa
2021.8869300000001	South Africa	United Kingdom
2021.88712	Denmark	Germany
2021.88941	South Africa	United Kingdom
2021.89508	South Africa	India
2021.89781	South Africa	Denmark
2021.90001	India	United Kingdom
2021.90136	United Kingdom	India
2021.90153	South Africa	India
2021.9029	South Africa	India
2021.9030400000001	South Africa	United Kingdom
2021.90402	South Africa	Botswana
2021.90425	South Africa	United Kingdom
2021.9045800000001	India	United Kingdom
2021.9052100000001	South Africa	Mozambique
2021.90906	South Africa	Brazil
2021.90912	South Africa	India
2021.90937	South Africa	United Kingdom
2021.90992	USA	United Kingdom
2021.91154	India	South Africa
2021.91218	South Africa	India
2021.9186300000001	South Africa	Israel
2021.92135	South Africa	Botswana
2021.92246	Denmark	Brazil
2021.9236700000001	South Africa	United Kingdom
2021.92593	United Kingdom	South Africa
2021.9271700000002	South Africa	Algeria
2021.92914	United Kingdom	South Africa
2021.9298900000001	Denmark	United Kingdom
2021.93065	India	South Africa
2021.93101	India	United Kingdom
2021.93113	South Africa	Mozambique
2021.9313300000001	United Kingdom	South Africa
2021.93143	South Africa	Botswana
2021.93148	South Africa	United Kingdom
2021.93217	South Africa	India
2021.93309	USA	Mauritius
2021.93377	South Africa	India
2021.9338	South Africa	Mozambique
2021.9339400000001	United Kingdom	South Africa
2021.93576	South Africa	Sweden
2021.93651	South Africa	Denmark
2021.9366300000002	South Africa	Mozambique
2021.9390700000001	South Africa	India
2021.93929	United Kingdom	South Africa
2021.93935	India	South Africa
2021.9404200000001	South Africa	India
2021.9419500000001	South Africa	United Kingdom
2021.9444700000001	South Africa	Rwanda
2021.9446400000002	South Africa	India
2021.94484	South Africa	Mozambique
2021.9452800000001	USA	Philippines
2021.94603	United Kingdom	Germany
2021.94615	South Africa	USA
2021.94758	Denmark	Germany
