EventTime	Origin	Destination
2020.69335	UNKNOWN	South Africa
2020.70975	South Africa	Mozambique
2020.71532	South Africa	Angola
2020.73995	South Africa	Zimbabwe
2020.74451	Mozambique	South Africa
2020.74848	South Africa	Germany
2020.7501399999999	Zimbabwe	France
2020.75888	South Africa	Malawi
2020.76258	Mozambique	South Africa
2020.76994	South Africa	Bangladesh
2020.77927	South Africa	Zimbabwe
2020.78393	South Africa	Angola
2020.79094	South Africa	Zambia
2020.79172	South Africa	Angola
2020.80217	South Africa	Angola
2020.81419	Angola	South Africa
2020.81902	Angola	South Africa
2020.8198	South Africa	France
2020.8327	South Africa	Angola
2020.83668	Germany	Sweden
2020.83944	Angola	South Africa
2020.83977	South Africa	France
2020.8409	South Africa	Angola
2020.84123	South Africa	Zimbabwe
2020.84583	South Africa	Malawi
2020.84636	South Africa	Angola
2020.84637	South Africa	Angola
2020.85183	Angola	South Africa
2020.85183	Angola	South Africa
2020.85502	South Africa	Malawi
2020.85793	South Africa	Mozambique
2020.86399	Mozambique	South Africa
2020.86516	South Africa	Botswana
2020.86871	France	United Kingdom
2020.86906	South Africa	Botswana
2020.8771	South Africa	Finland
2020.87718	South Africa	Qatar
2020.87794	South Africa	Germany
2020.8799099999999	South Africa	Eswatini
2020.88079	South Africa	Zambia
2020.88095	South Africa	France
2020.88588	South Africa	Belgium
2020.88696	Zimbabwe	South Africa
2020.88746	South Africa	Mozambique
2020.88801	South Africa	USA
2020.8910799999999	South Africa	Malawi
2020.8946799999999	South Africa	USA
2020.89478	South Africa	Israel
2020.89554	Zimbabwe	South Africa
2020.89753	South Africa	Zimbabwe
2020.90182	South Africa	Zimbabwe
2020.90294	Zimbabwe	South Africa
2020.9049499999999	South Africa	Angola
2020.90737	South Africa	Kenya
2020.90931	Malawi	USA
2020.91149	South Africa	Sweden
2020.91388	South Africa	Botswana
2020.9145	South Africa	Malawi
2020.91462	South Africa	Zimbabwe
2020.91476	France	Switzerland
2020.915	South Africa	Austria
2020.91761	South Africa	Turkey
2020.91895	South Africa	Eswatini
2020.91915	South Africa	France
2020.9196299999999	South Africa	Turkey
2020.91979	South Africa	France
2020.9212	South Africa	Germany
2020.9251	France	Germany
2020.92949	South Africa	Mozambique
2020.9309	South Africa	Zimbabwe
2020.93122	South Africa	Botswana
2020.93546	Malawi	South Africa
2020.93675	France	Turkey
2020.93693	Malawi	South Africa
2020.9377	South Africa	USA
2020.93823	South Africa	Germany
2020.93925	Zambia	France
2020.94008	South Africa	Canada
2020.94146	South Africa	Botswana
