EventTime	Origin	Destination
2020.52187	UNKNOWN	South Africa
2020.63111	UNKNOWN	South Africa
2020.63804	South Africa	Angola
2020.6611500000001	Angola	South Africa
2020.6836600000001	South Africa	Zimbabwe
2020.68669	South Africa	Angola
2020.69981	Angola	South Africa
2020.7049	Angola	South Africa
2020.73222	South Africa	Angola
2020.73721	South Africa	Mozambique
2020.73767	South Africa	Angola
2020.73768	South Africa	Angola
2020.74393	Angola	South Africa
2020.75302	South Africa	Mozambique
2020.7537200000002	South Africa	Mozambique
2020.75716	South Africa	Angola
2020.76614	Zimbabwe	South Africa
2020.7868600000002	South Africa	Angola
2020.7868600000002	South Africa	Angola
2020.78959	Angola	South Africa
2020.7945300000001	South Africa	Bangladesh
2020.799	South Africa	Mayotte
2020.80562	South Africa	Sweden
2020.8056800000002	South Africa	Zimbabwe
2020.8058800000001	South Africa	Botswana
2020.80717	South Africa	France
2020.83033	South Africa	Philippines
2020.83087	Mayotte	Madagascar
2020.83197	South Africa	Zimbabwe
2020.83219	South Africa	Kenya
2020.83708	South Africa	Zambia
2020.83877	Angola	South Africa
2020.84326	South Africa	Angola
2020.84471	South Africa	Botswana
2020.84887	South Africa	Angola
2020.85141	Zimbabwe	South Africa
2020.8524300000001	Angola	South Africa
2020.85317	South Africa	Zimbabwe
2020.85421	South Africa	Malawi
2020.85617	Zimbabwe	South Africa
2020.86059	South Africa	Malawi
2020.8606200000002	South Africa	Mozambique
2020.86271	Mozambique	South Africa
2020.86776	South Africa	USA
2020.86956	South Africa	Eswatini
2020.87302	South Africa	Botswana
2020.87365	South Africa	Norway
2020.87652	South Africa	Botswana
2020.8785400000002	South Africa	Finland
2020.88129	South Africa	Malawi
2020.88227	South Africa	Zimbabwe
2020.8852200000001	Mayotte	South Africa
2020.8863800000001	South Africa	USA
2020.8876400000001	South Africa	Botswana
2020.8884600000001	South Africa	Turkey
2020.89022	South Africa	Turkey
2020.89099	South Africa	Zimbabwe
2020.8918700000002	South Africa	Malawi
2020.89253	South Africa	Malawi
2020.89438	South Africa	Botswana
2020.8956	South Africa	France
2020.8956500000002	South Africa	Israel
2020.89612	South Africa	Eswatini
2020.89613	South Africa	Eswatini
2020.89798	South Africa	Botswana
2020.89901	South Africa	Malawi
2020.8999000000001	South Africa	USA
2020.9001700000001	Norway	USA
2020.9011	South Africa	France
2020.9015900000002	South Africa	Eswatini
2020.9031400000001	South Africa	Mozambique
2020.90405	South Africa	Mozambique
2020.90488	South Africa	Zimbabwe
2020.90705	Zimbabwe	South Africa
2020.9071000000001	Malawi	South Africa
2020.90837	South Africa	Mozambique
2020.9097900000002	South Africa	Botswana
2020.91252	Botswana	South Africa
2020.91296	South Africa	Switzerland
2020.91363	South Africa	Mozambique
2020.91579	South Africa	Malawi
2020.91608	South Africa	Botswana
2020.9162900000001	South Africa	Namibia
2020.91689	South Africa	Mozambique
2020.92023	South Africa	Turkey
2020.92073	South Africa	Angola
2020.92346	South Africa	Angola
2020.92347	South Africa	Sweden
2020.9234800000002	South Africa	Angola
2020.92554	South Africa	France
2020.92683	Eswatini	South Africa
2020.92696	Malawi	South Africa
2020.9270000000001	South Africa	United Kingdom
2020.92742	South Africa	Mozambique
2020.9284	South Africa	Zambia
2020.9304200000001	South Africa	Mozambique
2020.9313300000001	Zambia	Zimbabwe
2020.9316700000002	Mayotte	South Africa
2020.9316700000002	Mayotte	South Africa
2020.9320500000001	Zimbabwe	United Kingdom
2020.93368	South Africa	Malawi
2020.9343700000002	South Africa	Angola
2020.9344	South Africa	Angola
2020.93497	South Africa	Japan
2020.9356500000001	South Africa	Zimbabwe
2020.9367200000002	South Africa	Mozambique
2020.93711	South Africa	Angola
2020.93714	South Africa	Angola
2020.93729	Zimbabwe	South Africa
2020.93739	South Africa	United Kingdom
2020.93779	South Africa	Israel
2020.93784	South Africa	Zimbabwe
2020.93796	Zambia	Kenya
2020.93814	South Africa	Mozambique
2020.93937	South Africa	Belgium
2020.93986	South Africa	Malawi
2020.9407	South Africa	Zimbabwe
2020.94107	South Africa	Zimbabwe
2020.94237	South Africa	Switzerland
2020.94259	South Africa	United Kingdom
2020.94259	South Africa	Australia
2020.9426	South Africa	Angola
2020.9434800000001	South Africa	Mozambique
2020.94353	South Africa	Austria
2020.9437	South Africa	Equatorial Guinea
2020.94424	France	Switzerland
2020.94452	Malawi	South Africa
2020.94531	South Africa	United Kingdom
2020.94533	South Africa	Zimbabwe
2020.9455500000001	South Africa	Malawi
2020.94688	South Africa	Mozambique
2020.9480600000002	Mayotte	South Africa
2020.9480700000001	South Africa	United Kingdom
2020.9481	South Africa	Mozambique
2020.94827	South Africa	Kenya
2020.9507800000001	United Kingdom	Mauritius
2020.95112	South Africa	Malawi
2020.95283	South Africa	France
2020.95345	South Africa	Mozambique
2020.9535	Zambia	United Kingdom
2020.9535	South Africa	Zimbabwe
2020.95351	Angola	South Africa
2020.95449	South Africa	Qatar
2020.95486	Zimbabwe	United Kingdom
2020.95624	South Africa	Switzerland
2020.9562600000002	Zambia	United Kingdom
2020.95676	South Africa	Canada
2020.9570700000002	South Africa	Kenya
2020.95758	Malawi	Zimbabwe
2020.95839	France	United Kingdom
2020.9589600000002	South Africa	Lesotho
2020.9589700000001	South Africa	Lesotho
2020.95898	South Africa	United Kingdom
2020.9617	South Africa	Zimbabwe
