EventTime	Origin	Destination
2020.69335	UNKNOWN	South Africa
2020.70516	South Africa	France
2020.70974	South Africa	Mozambique
2020.71292	South Africa	Turkey
2020.7229	South Africa	Turkey
2020.72448	South Africa	Botswana
2020.7341800000002	South Africa	Zambia
2020.7376100000001	South Africa	Malawi
2020.74097	South Africa	Mozambique
2020.74461	South Africa	USA
2020.74757	South Africa	France
2020.7508400000002	South Africa	Botswana
2020.7534500000002	South Africa	USA
2020.75997	South Africa	Mozambique
2020.76406	South Africa	Sweden
2020.76729	France	United Kingdom
2020.76755	South Africa	Germany
2020.7748900000001	South Africa	Germany
2020.77785	South Africa	Malawi
2020.78305	South Africa	Angola
2020.7850600000002	South Africa	Zimbabwe
2020.78532	South Africa	Zimbabwe
2020.79157	Malawi	South Africa
2020.7917	South Africa	Angola
2020.79314	Mozambique	South Africa
2020.79544	Angola	South Africa
2020.80057	France	India
2020.80093	South Africa	Malawi
2020.80152	South Africa	USA
2020.80238	South Africa	Mozambique
2020.80251	Zimbabwe	South Africa
2020.80388	South Africa	Bangladesh
2020.80447	South Africa	Zimbabwe
2020.80871	South Africa	Angola
2020.81476	Mozambique	South Africa
2020.81638	South Africa	United Kingdom
2020.81903	Angola	South Africa
2020.82012	South Africa	Angola
2020.82139	South Africa	Malawi
2020.82141	France	Germany
2020.8243400000001	South Africa	Qatar
2020.8247900000001	South Africa	Belgium
2020.8252300000001	South Africa	Kenya
2020.8307300000001	South Africa	France
2020.83268	South Africa	Angola
2020.83269	South Africa	Angola
2020.8332400000002	South Africa	Turkey
2020.83764	South Africa	Zimbabwe
2020.8395500000001	South Africa	Turkey
2020.8399200000001	South Africa	Israel
2020.8407200000001	South Africa	France
2020.84141	Angola	South Africa
2020.8416	Zimbabwe	Netherlands
2020.8422	Germany	Kenya
2020.84344	United Kingdom	Zambia
2020.84391	South Africa	Malawi
2020.84399	South Africa	Germany
2020.84634	South Africa	Malawi
2020.84635	South Africa	Angola
2020.84636	South Africa	Angola
2020.84822	South Africa	Zimbabwe
2020.84965	South Africa	France
2020.84969	South Africa	Netherlands
2020.8518100000001	Angola	South Africa
2020.85265	Zambia	Kenya
2020.8529700000001	Zambia	France
2020.85331	Sweden	Germany
2020.85389	France	Luxembourg
2020.85494	South Africa	Botswana
2020.85564	Zimbabwe	South Africa
2020.85629	South Africa	Turkey
2020.85716	Mozambique	South Africa
2020.85845	Zimbabwe	Malaysia
2020.85969	South Africa	Turkey
2020.86001	South Africa	Sweden
2020.86354	South Africa	Botswana
2020.86598	South Africa	Mozambique
2020.8704400000001	South Africa	USA
2020.8707100000001	South Africa	USA
2020.8741400000001	South Africa	Austria
2020.875	South Africa	France
2020.87812	South Africa	Mozambique
2020.87861	USA	Finland
2020.8793600000001	South Africa	Eswatini
2020.88064	France	Netherlands
2020.8828800000001	USA	Finland
2020.88582	South Africa	Germany
2020.88619	South Africa	Mozambique
2020.8887300000001	South Africa	Zimbabwe
2020.8894400000001	South Africa	Germany
2020.89006	South Africa	Mozambique
2020.89249	South Africa	Zimbabwe
2020.89281	South Africa	Mozambique
2020.8957500000001	South Africa	Malawi
2020.8969	Mozambique	South Africa
2020.89825	Angola	South Africa
2020.89856	South Africa	Spain
2020.9017000000001	South Africa	Mozambique
2020.90237	South Africa	USA
2020.90372	France	Switzerland
2020.90374	South Africa	Mozambique
2020.90726	Kenya	South Africa
2020.90765	South Africa	Zimbabwe
2020.9084400000002	Mozambique	South Africa
2020.90877	South Africa	Malawi
2020.91046	South Africa	United Kingdom
2020.91049	Turkey	USA
2020.91103	South Africa	Mozambique
2020.91143	South Africa	Malawi
2020.91157	South Africa	Malawi
2020.91173	Kenya	France
2020.91251	Zimbabwe	United Kingdom
2020.91326	South Africa	Turkey
2020.91578	South Africa	Germany
2020.91598	South Africa	Zimbabwe
2020.91713	South Africa	Botswana
2020.91725	Zambia	Zimbabwe
2020.9178100000001	Germany	South Africa
2020.9194	Mozambique	South Africa
2020.91978	South Africa	India
2020.92005	Luxembourg	Germany
2020.92138	South Africa	Mozambique
2020.92145	South Africa	Malawi
2020.92458	South Africa	Canada
2020.92558	United Kingdom	Sweden
2020.92568	South Africa	Zimbabwe
2020.9263	South Africa	Germany
2020.9265500000001	Zimbabwe	South Africa
2020.92738	South Africa	Turkey
2020.92874	USA	Canada
2020.92924	South Africa	Mozambique
2020.92959	South Africa	Mozambique
2020.9299800000001	South Africa	Netherlands
2020.93003	South Africa	Switzerland
2020.9328	France	Turkey
2020.93471	South Africa	France
2020.93512	South Africa	Malawi
2020.93559	South Africa	Turkey
2020.9381700000001	South Africa	Turkey
2020.94235	South Africa	Mozambique
2020.94317	South Africa	Turkey
2020.94395	South Africa	Angola
2020.94409	South Africa	Belgium
2020.94494	South Africa	Zimbabwe
2020.94502	South Africa	Spain
2020.9464600000001	South Africa	Zimbabwe
2020.94684	South Africa	Germany
2020.94731	South Africa	Canada
2020.94775	Zimbabwe	Turkey
2020.94814	South Africa	Israel
2020.94839	South Africa	Spain
2020.94903	South Africa	United Kingdom
2020.9493400000001	South Africa	Kenya
2020.9496900000001	Botswana	South Africa
2020.95165	South Africa	France
2020.95207	South Africa	Mozambique
2020.9524000000001	South Africa	Malawi
2020.95566	South Africa	Eswatini
2020.95648	South Africa	Zimbabwe
2020.9569800000002	Bangladesh	India
2020.95831	South Africa	Sweden
2020.95884	South Africa	Mozambique
2020.95929	Zimbabwe	United Kingdom
2020.9597	South Africa	Mozambique
2020.9609500000001	France	Netherlands
2020.96101	Zambia	Sweden
2020.96103	Malawi	South Africa
2020.96112	Germany	Eswatini
2020.96148	South Africa	Turkey
2020.96323	South Africa	Angola
2020.96399	France	Turkey
2020.9640200000001	South Africa	Turkey
2020.96404	France	Netherlands
2020.96412	South Africa	Switzerland
2020.9656300000001	South Africa	France
2020.96604	Kenya	Netherlands
2020.96657	South Africa	Portugal
2020.96891	South Africa	Zimbabwe
2020.9694100000002	South Africa	Germany
2020.96967	France	Israel
2020.9697700000002	South Africa	France
2020.96979	Zimbabwe	Germany
2020.9712100000002	South Africa	Germany
2020.97182	South Africa	Botswana
2020.97282	Zambia	United Kingdom
2020.9729	South Africa	Botswana
2020.9767200000001	South Africa	Malawi
