EventTime	Origin	Destination
2020.68566	UNKNOWN	India
2020.71449	India	Russia
2020.7814700000001	India	France
2020.8226800000002	India	Russia
2020.97181	India	United Kingdom
2021.01383	India	USA
2021.0245200000002	France	Slovakia
2021.03022	Russia	Turkey
2021.05095	India	Turkey
2021.0584800000001	India	Italy
2021.0699000000002	France	Slovakia
2021.07744	India	Indonesia
2021.0803700000001	India	USA
2021.09617	Russia	Turkey
2021.0983800000001	India	Turkey
2021.1080200000001	Italy	France
2021.11361	India	Italy
2021.12073	India	Iran
2021.1362000000001	India	South Korea
2021.1482	India	USA
2021.1494500000001	India	USA
2021.14976	France	Spain
2021.1593200000002	India	Russia
2021.1682500000002	India	Indonesia
2021.1756	India	United Kingdom
2021.1762600000002	India	Lithuania
2021.19423	India	Israel
2021.1961500000002	India	Pakistan
2021.1988000000001	India	Turkey
2021.19937	France	Spain
2021.20169	India	Malaysia
2021.2035500000002	India	Russia
2021.2098700000001	India	USA
2021.22195	India	South Africa
2021.2243600000002	India	Mexico
2021.22485	Iran	Turkey
2021.22549	India	South Africa
2021.2282	India	Nepal
2021.2378600000002	India	Japan
2021.2454200000002	India	USA
2021.24548	India	Thailand
2021.24675	India	Zambia
2021.24728	India	USA
2021.2498300000002	India	Spain
2021.25538	India	Pakistan
2021.2594700000002	India	Bangladesh
2021.2648800000002	India	Bangladesh
2021.2654300000002	India	Russia
2021.2656100000002	Turkey	India
2021.2657700000002	India	South Africa
2021.2705500000002	India	South Africa
2021.27169	India	Uganda
2021.27248	India	USA
2021.2782300000001	India	South Africa
2021.27908	Russia	Germany
2021.2856900000002	India	Nepal
2021.28616	India	Bangladesh
2021.28734	India	United Kingdom
2021.28773	India	Bangladesh
2021.2902900000001	India	Singapore
2021.29132	India	USA
2021.2922700000001	United Kingdom	India
2021.2960600000001	India	Pakistan
2021.2970200000002	Turkey	Pakistan
2021.2985	India	South Korea
2021.30124	India	United Kingdom
2021.30168	India	Indonesia
2021.30196	India	Croatia
2021.30437	India	Iran
2021.30444	India	Bangladesh
2021.30671	India	Singapore
2021.30715	India	Russia
2021.30826	Turkey	India
2021.3093700000002	United Kingdom	India
2021.3095	India	Singapore
2021.3095400000002	India	Pakistan
2021.3121	India	Brazil
2021.3121500000002	India	Italy
2021.31223	India	Singapore
2021.31293	Turkey	Russia
2021.3149500000002	Turkey	India
2021.3156900000001	USA	Malaysia
2021.3171100000002	India	Indonesia
2021.31743	India	South Africa
2021.3178200000002	USA	Mexico
2021.31804	India	Israel
2021.3188	Nepal	Malaysia
2021.32032	United Kingdom	Portugal
2021.32041	India	USA
2021.32042	India	Singapore
2021.3221400000002	India	USA
2021.32318	India	Japan
2021.32321	Turkey	Iran
2021.3232200000002	India	Singapore
2021.32579	Pakistan	Turkey
2021.32661	South Africa	Kenya
2021.32669	India	Greece
2021.32862	South Africa	Iran
2021.3301000000001	India	Russia
2021.3313600000001	India	France
2021.3313600000001	India	Japan
2021.33137	Russia	India
2021.3314200000002	India	Japan
2021.3318900000002	India	USA
2021.3341200000002	India	Singapore
2021.33416	India	Singapore
2021.33744	India	Sri Lanka
2021.3390100000001	India	Thailand
2021.3397400000001	Turkey	Russia
2021.3400700000002	France	Spain
2021.3417200000001	India	Italy
2021.3423400000001	United Kingdom	India
2021.34238	India	Japan
2021.3451100000002	India	Singapore
2021.3451300000002	India	Japan
2021.34779	Russia	Portugal
2021.3478100000002	India	Japan
2021.34788	India	Japan
2021.34788	India	Japan
2021.35065	Russia	Georgia
2021.35203	India	Jordan
2021.3533100000002	India	Japan
2021.3533200000002	India	Japan
2021.35337	India	Nepal
2021.3538800000001	United Kingdom	Nepal
2021.3542100000002	Spain	France
2021.3546800000001	India	Brazil
2021.3558400000002	India	Spain
2021.3559400000001	Russia	Indonesia
2021.3560200000002	India	Nepal
2021.3560300000001	India	Singapore
2021.3560400000001	India	Russia
2021.35608	India	Nepal
2021.35642	Indonesia	United Kingdom
2021.35875	Russia	Turkey
2021.35921	India	United Kingdom
2021.36019	France	Greece
2021.3608800000002	France	Spain
2021.36353	India	Nigeria
2021.36388	India	Zambia
2021.3640500000001	India	Philippines
2021.36577	Turkey	Russia
2021.36631	Turkey	Pakistan
2021.3671000000002	India	Turkey
2021.3697200000001	Russia	India
2021.36976	India	Japan
2021.3700500000002	India	South Africa
2021.37011	Russia	Germany
2021.3717000000001	India	Russia
2021.3724900000002	South Africa	Brazil
2021.3732	India	South Africa
2021.37445	United Kingdom	France
2021.37446	India	Nepal
2021.37669	Indonesia	Malaysia
2021.3767200000002	India	Bangladesh
2021.3772700000002	Russia	Sweden
2021.3777400000001	France	Spain
2021.38227	United Kingdom	Netherlands
2021.3847	South Africa	United Kingdom
2021.38597	India	Bulgaria
2021.3861700000002	United Kingdom	India
2021.38724	Spain	Brazil
2021.3885100000002	Portugal	Israel
2021.39066	India	Nepal
2021.3931300000002	India	Russia
2021.39443	India	Singapore
2021.3964600000002	India	Turkey
2021.39668	France	Brazil
2021.3977200000002	India	Turkey
2021.39785	Portugal	France
2021.3986100000002	France	Spain
2021.3998700000002	India	South Africa
2021.40037	India	Sri Lanka
2021.4009700000001	India	Sri Lanka
2021.40118	Russia	Germany
2021.40263	India	Bahrain
2021.4030300000002	United Kingdom	Israel
2021.40315	India	Turkey
2021.4035600000002	India	Russia
2021.4041300000001	France	Germany
2021.4049200000002	India	Indonesia
2021.4050900000002	Spain	Germany
2021.40534	India	Indonesia
2021.40534	India	Bahrain
2021.40535	India	Indonesia
2021.4053900000001	USA	India
2021.4070800000002	India	Bangladesh
2021.4079700000002	India	France
2021.4081	South Africa	United Kingdom
2021.4081600000002	India	South Korea
2021.40893	India	United Kingdom
2021.409	India	Italy
2021.41111	Mexico	USA
2021.41155	India	Netherlands
2021.41201	USA	Canada
2021.41362	India	France
2021.4153600000002	Russia	Turkey
2021.4162800000001	Russia	Colombia
2021.4163	India	Uganda
2021.41631	Turkey	Russia
2021.41632	South Africa	United Kingdom
2021.41633	India	South Africa
2021.41694	India	United Kingdom
2021.41703	Mexico	Colombia
2021.4189900000001	India	Turkey
2021.41909	United Kingdom	India
2021.4209600000002	United Kingdom	Spain
2021.4215800000002	India	France
2021.4217800000001	India	Russia
2021.42182	India	South Africa
2021.42183	India	Nepal
2021.42298	Russia	USA
2021.42341	India	Portugal
2021.42431	United Kingdom	Denmark
2021.4243700000002	Russia	USA
2021.42479	France	Italy
2021.42498	India	South Korea
2021.4251900000002	Netherlands	Portugal
2021.42568	France	Spain
2021.42593	Spain	Brazil
2021.4260000000002	India	South Africa
2021.4263400000002	USA	Colombia
2021.4269800000002	France	Germany
2021.42721	Spain	USA
2021.4272700000001	India	Singapore
2021.42827	Mexico	USA
2021.42839	Russia	Israel
2021.4289	South Africa	Brazil
2021.43008	United Kingdom	Spain
2021.43083	Russia	USA
2021.4314000000002	USA	Guatemala
2021.4322200000001	USA	Brazil
2021.4327400000002	India	Japan
2021.43469	Kenya	Slovenia
2021.43549	Russia	France
2021.4359900000002	South Africa	Brazil
2021.43631	Russia	Brazil
2021.4366100000002	India	Turkey
2021.43749	India	Turkey
2021.43818	United Kingdom	South Africa
2021.43902	India	United Kingdom
2021.44047	United Kingdom	Spain
2021.4428500000001	Russia	South Korea
2021.44434	Russia	Germany
2021.44442	Pakistan	Germany
2021.4445400000002	India	Turkey
2021.44479	Spain	France
2021.44505	Spain	Italy
2021.4456500000001	Russia	Israel
2021.4458200000001	Russia	Turkey
2021.4464400000002	India	Uganda
2021.4464500000001	United Kingdom	Spain
2021.4467300000001	Spain	Belgium
2021.4471600000002	Greece	Russia
2021.4480700000001	India	South Africa
2021.4484400000001	Russia	Germany
2021.4494900000002	Russia	Turkey
2021.4499600000001	Russia	Germany
2021.45189	Russia	Germany
2021.4519300000002	India	South Africa
2021.4519300000002	South Africa	Indonesia
2021.4522000000002	France	Italy
2021.4523700000002	India	Bangladesh
2021.4525700000002	Turkey	France
2021.45268	Spain	Italy
2021.4530300000001	India	Israel
2021.45304	Russia	Greece
2021.4534500000002	France	Bulgaria
2021.45369	USA	Australia
2021.45407	Russia	USA
2021.4543700000002	India	USA
2021.4543800000001	India	Botswana
2021.45469	India	Uganda
2021.4547100000002	India	Zambia
2021.45529	France	Spain
2021.4562400000002	India	Botswana
2021.4573500000001	India	Bangladesh
2021.4574100000002	India	Turkey
2021.4582400000002	France	Netherlands
2021.4587700000002	Russia	Germany
2021.4595000000002	India	Turkey
2021.4600500000001	United Kingdom	France
2021.4602200000002	India	South Korea
2021.4611100000002	Mexico	USA
2021.4617600000001	India	United Kingdom
2021.4620300000001	India	Indonesia
2021.46224	India	South Korea
2021.4634600000002	Thailand	South Korea
2021.4640000000002	Portugal	Israel
