EventTime	Origin	Destination
2019.95627	UNKNOWN	China
2020.4782699999998	UNKNOWN	India
2020.98866	India	Kenya
2020.99652	India	Rwanda
2021.00899	India	South Africa
2021.03091	India	South Africa
2021.03925	India	United Kingdom
2021.05008	India	Italy
2021.05874	India	Botswana
2021.08248	India	Turkey
2021.09122	India	Liberia
2021.0987499999999	India	Rwanda
2021.11841	India	Turkey
2021.1241	India	Malaysia
2021.12432	India	Kenya
2021.14107	India	South Africa
2021.1416299999999	India	South Africa
2021.14656	India	Malawi
2021.1466	India	United Kingdom
2021.15698	India	Senegal
2021.15926	India	Spain
2021.1595	India	United Kingdom
2021.16149	India	Kenya
2021.16222	India	South Africa
2021.16277	India	USA
2021.16322	India	Ghana
2021.17087	India	South Africa
2021.1726899999999	Turkey	South Africa
2021.17463	South Africa	Botswana
2021.17929	India	Uganda
2021.17998	Kenya	Zambia
2021.18088	Nigeria	Burkina Faso
2021.18481	India	Uganda
2021.18988	India	Canada
2021.19067	India	Togo
2021.19185	Kenya	Rwanda
2021.1918699999999	United Kingdom	Germany
2021.1945799999999	Nigeria	Burkina Faso
2021.1949399999999	India	South Africa
2021.20111	India	USA
2021.2057599999998	India	Denmark
2021.20705	India	USA
2021.2153099999998	India	Ghana
2021.2198799999999	South Africa	Ethiopia
2021.22406	India	Germany
2021.2247399999999	India	United Kingdom
2021.2262799999999	India	Indonesia
2021.2264599999999	India	South Africa
2021.22749	India	Australia
2021.22868	India	South Africa
2021.22885	India	Guinea
2021.2294399999998	India	Angola
2021.23145	Botswana	Egypt
2021.2321299999999	United Kingdom	South Africa
2021.23252	India	Morocco
2021.2329399999999	India	Liberia
2021.23858	India	Mozambique
2021.2397799999999	India	France
2021.24073	India	France
2021.24135	India	Ghana
2021.2421299999999	South Africa	Namibia
2021.24278	India	Ghana
2021.24308	India	USA
2021.2439	India	Liberia
2021.24478	India	USA
2021.2466299999999	India	Malawi
2021.2481699999998	India	Democratic Republic of the Congo
2021.2482599999998	India	Mexico
2021.24847	India	Ghana
2021.24905	India	USA
2021.2490699999998	India	Sierra Leone
2021.2494	Ghana	Togo
2021.24956	India	Spain
2021.25092	India	Kenya
2021.25152	India	Seychelles
2021.25301	Spain	Finland
2021.2536599999999	India	South Africa
2021.2540299999998	India	Germany
2021.25445	India	Algeria
2021.25489	India	United Kingdom
2021.25814	India	South Africa
2021.2603399999998	Nigeria	Burkina Faso
2021.26057	Liberia	Nigeria
2021.2608599999999	Senegal	France
2021.2618599999998	India	United Kingdom
2021.26199	India	South Africa
2021.26207	France	Democratic Republic of the Congo
2021.2622099999999	India	United Kingdom
2021.2628499999998	Zambia	Turkey
2021.26406	India	USA
2021.26413	India	France
2021.2644799999998	India	USA
2021.26576	India	USA
2021.2658299999998	India	Angola
2021.26585	India	USA
2021.2671599999999	India	USA
2021.26756	India	Portugal
2021.26854	India	Gambia
2021.26856	Kenya	Botswana
2021.26857	South Africa	India
2021.26859	India	United Kingdom
2021.26899	India	Seychelles
2021.26901	India	USA
2021.26966	India	Denmark
2021.26972	India	Zimbabwe
2021.2709499999999	India	Togo
2021.27129	Nigeria	Burkina Faso
2021.2713099999999	India	Ghana
2021.27133	India	Germany
2021.27269	India	United Kingdom
2021.27435	Kenya	USA
2021.27516	South Africa	USA
2021.2766299999998	India	USA
2021.27678	India	Malawi
2021.2768199999998	India	Morocco
2021.2778899999998	India	USA
2021.2782499999998	India	Fiji
2021.2782599999998	India	South Africa
2021.27832	India	United Kingdom
2021.2794199999998	India	South Africa
2021.27955	India	USA
2021.27964	India	Burundi
2021.2798699999998	Germany	USA
2021.28144	India	Spain
2021.28255	India	United Kingdom
2021.28371	India	United Kingdom
2021.28403	India	USA
2021.2846499999998	India	Kenya
2021.28485	India	Nigeria
2021.2849899999999	United Kingdom	Barbados
2021.28503	India	USA
2021.28504	India	Uganda
2021.28513	India	Nigeria
2021.28524	India	United Kingdom
2021.28525	Kenya	South Africa
2021.28579	Togo	Ghana
2021.28611	India	South Korea
2021.28656	Kenya	Nigeria
2021.2867999999999	India	France
2021.2872499999999	India	Canada
2021.28774	South Africa	USA
2021.28774	Mozambique	USA
2021.28775	India	United Kingdom
2021.28777	India	United Kingdom
2021.28777	India	USA
2021.28855	India	South Africa
2021.28891	Kenya	Zimbabwe
2021.29048	India	South Sudan
2021.2904899999999	India	Ireland
2021.2904899999999	India	Singapore
2021.29218	India	Germany
2021.29227	Kenya	Botswana
2021.2924699999999	India	Germany
2021.2930199999998	South Africa	United Kingdom
2021.29323	India	USA
2021.29325	India	Malawi
2021.2932799999999	India	Botswana
2021.29385	India	United Kingdom
2021.2940099999998	India	Spain
2021.2950099999998	India	Reunion
2021.29523	India	South Africa
2021.29578	India	Botswana
2021.29595	India	Kenya
2021.29596	India	Kenya
2021.29596	India	Kenya
2021.29597	India	Kenya
2021.29597	India	Kenya
2021.2959799999999	India	Kenya
