EventTime	Origin	Destination
2020.6434700000002	UNKNOWN	India
2020.65775	India	Thailand
2020.7119100000002	India	United Kingdom
2020.7131200000001	India	USA
2020.72504	India	Germany
2020.7637300000001	India	USA
2020.77725	India	USA
2020.7902600000002	India	USA
2020.79157	India	Turkey
2020.7937900000002	India	Turkey
2020.8113400000002	UNKNOWN	India
2020.8292600000002	India	Bangladesh
2020.8499800000002	India	Pakistan
2020.8623900000002	India	Malaysia
2020.8819500000002	India	Pakistan
2020.9081400000002	Russia	Germany
2020.91171	India	United Kingdom
2020.92173	India	Turkey
2020.9273500000002	France	Spain
2020.95099	India	South Africa
2020.9542700000002	India	South Africa
2020.9550600000002	India	USA
2020.9550900000002	India	USA
2020.9629200000002	India	Turkey
2020.97528	India	France
2020.99575	India	Kenya
2021.00753	India	Mexico
2021.0083700000002	India	Russia
2021.00971	India	USA
2021.01988	India	Germany
2021.02375	India	France
2021.0244900000002	France	Slovakia
2021.0351	India	South Africa
2021.0406	France	Netherlands
2021.0457700000002	Germany	Spain
2021.04869	India	South Africa
2021.0487600000001	India	Mexico
2021.0490000000002	Russia	Ukraine
2021.0503700000002	Russia	Ukraine
2021.05303	India	Kenya
2021.0536100000002	India	South Africa
2021.05419	India	France
2021.0610100000001	India	Bulgaria
2021.0613500000002	India	USA
2021.06285	India	Indonesia
2021.0639600000002	France	Spain
2021.06645	India	United Kingdom
2021.0677300000002	India	Indonesia
2021.06933	France	Spain
2021.06949	India	Turkey
2021.0695	Mexico	USA
2021.06994	India	Turkey
2021.0776700000001	India	Pakistan
2021.07831	France	Brazil
2021.0788200000002	India	Pakistan
2021.07887	India	USA
2021.08137	India	Thailand
2021.0830300000002	India	South Africa
2021.08381	India	USA
2021.0846800000002	USA	Mexico
2021.08488	India	United Kingdom
2021.08506	India	Netherlands
2021.0860100000002	India	France
2021.0861300000001	South Africa	South Korea
2021.08644	Turkey	Egypt
2021.0877600000001	India	USA
2021.09121	USA	Canada
2021.0926100000001	India	Russia
2021.0963900000002	India	Germany
2021.0984500000002	India	Germany
2021.09932	India	Russia
2021.09985	Russia	Italy
2021.102	India	Italy
2021.1036900000001	India	South Africa
2021.1075400000002	USA	Guatemala
2021.10949	United Kingdom	Slovakia
2021.1144700000002	France	Italy
2021.1180600000002	India	Malaysia
2021.1206300000001	France	Slovakia
2021.1212500000001	USA	Mexico
2021.1216900000002	India	Japan
2021.12271	India	Poland
2021.1239	India	Bangladesh
2021.1278100000002	India	Myanmar
2021.12822	Russia	Georgia
2021.1283400000002	India	Pakistan
2021.12937	USA	Malaysia
2021.1299600000002	India	USA
2021.13154	United Kingdom	France
2021.13471	India	South Africa
2021.1363000000001	India	Bangladesh
2021.1372700000002	India	Mozambique
2021.14074	USA	Canada
2021.14165	United Kingdom	Israel
2021.1430500000001	Russia	Germany
2021.15056	India	Malaysia
2021.1512400000001	India	Indonesia
2021.1526800000001	India	Malaysia
2021.15352	India	Indonesia
2021.1537400000002	Mexico	USA
2021.1540100000002	India	South Africa
2021.15479	India	Greece
2021.1592500000002	India	Philippines
2021.1613000000002	India	Spain
2021.16278	Spain	France
2021.1631300000001	India	USA
2021.1640200000002	Israel	Portugal
2021.1650300000001	India	Pakistan
2021.1654800000001	India	Turkey
2021.1656500000001	India	South Africa
2021.1682300000002	India	Indonesia
2021.16856	Guatemala	USA
2021.16993	India	Thailand
2021.1712200000002	Russia	Georgia
2021.17245	South Africa	India
2021.17299	India	Pakistan
2021.1748000000002	India	Turkey
2021.1752500000002	India	Malaysia
2021.1758800000002	India	United Kingdom
2021.1761600000002	USA	Germany
2021.17639	Russia	Turkey
2021.1775300000002	Russia	Germany
2021.17757	India	Philippines
2021.17774	India	Brazil
