EventTime	Origin	Destination
2019.9790799999998	UNKNOWN	China
2019.9909699999998	China	Thailand
2020.00099	USA	France
2020.00387	Netherlands	Brazil
2020.0057	United Kingdom	Uganda
2020.00782	United Kingdom	India
2020.00962	China	Thailand
2020.0111	Morocco	India
2020.01512	China	South Korea
2020.01704	China	South Korea
2020.01831	China	USA
2020.01873	Morocco	Democratic Republic of the Congo
2020.02009	United Kingdom	Australia
2020.0201	China	Thailand
2020.02012	China	Thailand
2020.02106	China	France
2020.02142	United Kingdom	Egypt
2020.02152	United Kingdom	Bangladesh
2020.0260899999998	United Kingdom	Ecuador
2020.02742	South Africa	Egypt
2020.02865	China	USA
2020.02876	China	United Kingdom
2020.02885	South Korea	China
2020.02891	China	United Kingdom
2020.03052	USA	Spain
2020.0324699999999	China	Kenya
2020.03379	China	Nepal
2020.03433	South Africa	Germany
2020.03434	China	Iran
2020.03516	USA	France
2020.03604	China	France
2020.03718	China	Iran
2020.03785	Spain	Panama
2020.03793	China	Thailand
2020.04066	Thailand	Malaysia
2020.04333	China	Thailand
2020.04575	Brazil	Chile
2020.0482399999999	Thailand	China
2020.0497	China	Mali
2020.05018	China	USA
2020.05045	South Africa	Egypt
2020.05098	China	Japan
2020.0531999999998	China	United Arab Emirates
2020.05397	China	United Kingdom
2020.0556299999998	China	Hong Kong
2020.05565	China	USA
2020.0566099999999	Iran	Hong Kong
2020.0567999999998	Egypt	USA
2020.05838	China	Australia
2020.05838	China	USA
2020.05909	Malaysia	Singapore
2020.06106	China	France
2020.06107	China	Japan
2020.06109	China	Singapore
2020.0611	China	Hong Kong
2020.0611	China	Taiwan
2020.0611099999999	China	Canada
2020.0611099999999	China	Canada
2020.0611099999999	China	USA
2020.0638199999999	Singapore	Malaysia
2020.0638199999999	China	France
2020.06383	China	Australia
2020.06384	China	Australia
2020.06384	China	Australia
2020.06384	China	Taiwan
2020.06385	China	Australia
2020.06385	South Africa	China
2020.06385	Germany	China
2020.06449	China	United Kingdom
2020.0664	China	United Arab Emirates
2020.06654	China	Japan
2020.06654	China	Thailand
2020.06656	China	Australia
2020.06656	China	Thailand
2020.06656	China	Japan
2020.06657	China	Hong Kong
2020.06657	China	Australia
2020.06657	China	Singapore
2020.06657	China	South Korea
2020.06657	Mali	China
2020.06658	China	Taiwan
2020.06659	Spain	Australia
2020.0692999999999	China	Philippines
2020.0692999999999	China	Thailand
2020.0692999999999	Malaysia	Sri Lanka
2020.07053	South Africa	Egypt
2020.0720099999999	China	USA
2020.07203	China	Singapore
2020.07203	China	India
2020.07203	China	Singapore
2020.07203	China	Cambodia
2020.07204	China	Hong Kong
2020.07204	China	Singapore
2020.07204	China	Hong Kong
2020.07212	United Kingdom	Serbia
2020.07263	Spain	United Kingdom
2020.07353	Mali	Nigeria
2020.07474	China	Taiwan
2020.07477	China	USA
2020.07477	China	Australia
2020.07478	Germany	China
2020.0750699999999	China	Italy
2020.0756	United Kingdom	South Korea
2020.07747	China	Finland
2020.07749	China	France
2020.07749	China	Philippines
2020.07749	China	Hong Kong
2020.0774999999999	China	Singapore
2020.0774999999999	China	Japan
2020.0774999999999	China	Thailand
2020.0774999999999	China	USA
2020.0774999999999	China	USA
2020.0774999999999	China	Italy
2020.0774999999999	Egypt	Philippines
2020.0774999999999	USA	China
2020.0775099999998	China	USA
2020.07889	USA	Czech Republic
2020.08023	China	Hong Kong
2020.08023	China	South Korea
2020.08023	China	Hong Kong
2020.08023	Hong Kong	China
2020.08023	China	Australia
2020.08023	China	Australia
2020.0806	Japan	Georgia
2020.08103	Panama	Spain
2020.08168	China	Japan
2020.08222	China	France
2020.08296	China	Taiwan
2020.08296	China	USA
2020.08296	China	Sweden
2020.08296	China	India
2020.08296	China	Singapore
2020.08297	China	Hong Kong
2020.08297	China	Taiwan
2020.08297	China	Australia
2020.08297	South Africa	China
2020.0856999999999	Singapore	China
2020.0861499999999	United Kingdom	Egypt
2020.08816	China	United Arab Emirates
2020.08836	Singapore	Ghana
2020.08842	USA	Australia
2020.08843	China	Singapore
2020.0893899999999	USA	France
2020.09115	China	Thailand
2020.09117	China	Belgium
2020.09267	Thailand	China
2020.0938999999998	Egypt	Thailand
2020.0938999999998	USA	France
2020.09549	Democratic Republic of the Congo	Belgium
2020.09663	China	Australia
2020.09788	Japan	United Kingdom
2020.09845	United Kingdom	Netherlands
2020.09935	China	South Korea
2020.09936	Italy	Taiwan
2020.1003899999998	Democratic Republic of the Congo	Morocco
2020.1014499999999	United Kingdom	USA
2020.10186	United Kingdom	South Africa
2020.10189	China	Australia
2020.1020899999999	China	Thailand
2020.1037199999998	Egypt	Netherlands
2020.10414	China	United Kingdom
2020.1043399999999	Mali	Kenya
2020.10474	United Kingdom	Bangladesh
2020.10482	China	Australia
2020.1048899999998	China	Spain
2020.105	China	USA
2020.10599	China	Uruguay
2020.10658	USA	Kenya
2020.1065999999998	China	Tunisia
2020.10757	USA	Democratic Republic of the Congo
2020.10833	USA	France
2020.1089399999998	United Kingdom	Peru
