EventTime	Origin	Destination
2020.83876	UNKNOWN	United Kingdom
2020.83879	United Kingdom	Spain
2020.84421	United Kingdom	Sweden
2020.8461	United Kingdom	Iran
2020.84662	United Kingdom	France
2020.8477	United Kingdom	Slovenia
2020.85364	United Kingdom	USA
2020.85391	United Kingdom	Nigeria
2020.85518	United Kingdom	Spain
2020.85585	USA	France
2020.85905	United Kingdom	USA
2020.85979	United Kingdom	Kazakhstan
2020.86059	United Kingdom	Iraq
2020.86065	United Kingdom	India
2020.86113	United Kingdom	USA
2020.86616	India	Philippines
2020.86711	United Kingdom	USA
2020.8691000000001	United Kingdom	Bulgaria
2020.86931	Italy	Turkey
2020.8696400000001	United Kingdom	Portugal
2020.8700000000001	Germany	Slovakia
2020.8713500000001	France	India
2020.8722500000001	United Kingdom	USA
2020.8728	United Kingdom	Iraq
2020.87293	United Kingdom	Ireland
2020.87366	Slovakia	Switzerland
2020.87527	United Kingdom	India
2020.87778	United Kingdom	Turkey
2020.87977	United Kingdom	France
2020.88128	United Kingdom	France
2020.88274	United Kingdom	Brazil
2020.88283	United Kingdom	Bulgaria
2020.88339	United Kingdom	Ireland
2020.88431	Sweden	United Kingdom
2020.88444	United Kingdom	Spain
2020.88458	United Kingdom	Poland
2020.88523	United Kingdom	Poland
2020.88528	Slovakia	Poland
2020.88746	United Kingdom	Romania
2020.88834	United Kingdom	France
2020.88971	United Kingdom	Brazil
2020.89092	United Kingdom	Poland
2020.89142	United Kingdom	France
2020.89173	France	Slovakia
2020.8919700000001	United Kingdom	Poland
2020.89576	Italy	France
2020.89746	Iran	Greece
2020.89842	United Kingdom	Spain
2020.89923	United Kingdom	France
2020.89976	United Kingdom	Spain
2020.90102	United Kingdom	Turkey
2020.90175	United Kingdom	USA
2020.90183	United Kingdom	Italy
2020.9018800000001	United Kingdom	India
2020.90198	United Kingdom	Poland
2020.90532	France	Germany
2020.90634	United Kingdom	France
2020.90706	United Kingdom	India
2020.9071000000001	Romania	India
2020.90713	United Kingdom	Brazil
2020.90713	United Kingdom	Italy
2020.9080000000001	United Kingdom	Brazil
2020.90816	USA	Spain
2020.90839	United Kingdom	Latvia
2020.90887	Iran	Turkey
2020.90939	France	Kazakhstan
2020.9098	United Kingdom	India
2020.90989	United Kingdom	India
2020.91142	United Kingdom	Spain
2020.91299	United Kingdom	Slovakia
2020.91428	United Kingdom	USA
2020.91525	Italy	United Kingdom
2020.91567	United Kingdom	Sweden
2020.91571	United Kingdom	Poland
2020.91595	United Kingdom	Italy
2020.91617	United Kingdom	France
2020.91654	United Kingdom	Spain
2020.9167	United Kingdom	Germany
2020.9168	United Kingdom	Slovakia
2020.91681	United Kingdom	France
2020.91681	United Kingdom	Poland
2020.91761	United Kingdom	USA
2020.91781	United Kingdom	France
2020.91792	United Kingdom	Netherlands
2020.9182	United Kingdom	Portugal
2020.91875	United Kingdom	France
2020.91918	United Kingdom	Spain
2020.91978	United Kingdom	India
2020.91994	United Kingdom	India
2020.92001	India	USA
2020.92008	United Kingdom	Bulgaria
2020.92038	United Kingdom	Spain
2020.92073	United Kingdom	Poland
2020.92083	United Kingdom	Ireland
2020.9208800000001	United Kingdom	Bulgaria
2020.92152	United Kingdom	France
2020.92208	United Kingdom	Portugal
2020.92242	Poland	USA
2020.92243	United Kingdom	France
2020.92248	United Kingdom	Spain
2020.92258	United Kingdom	Romania
2020.9226	United Kingdom	Turkey
2020.92271	United Kingdom	India
2020.92291	United Kingdom	Portugal
2020.92309	United Kingdom	Spain
2020.92351	United Kingdom	Bulgaria
2020.92399	United Kingdom	India
2020.92562	United Kingdom	Italy
2020.92578	United Kingdom	France
2020.9259	United Kingdom	Spain
2020.92598	United Kingdom	India
2020.92605	United Kingdom	Poland
2020.92618	United Kingdom	Bangladesh
2020.92619	United Kingdom	India
2020.92648	United Kingdom	France
2020.9268	United Kingdom	Spain
2020.92683	United Kingdom	France
2020.92716	United Kingdom	France
2020.92732	United Kingdom	Brazil
2020.92733	United Kingdom	Poland
2020.92763	United Kingdom	Netherlands
2020.92765	USA	United Kingdom
2020.92806	United Kingdom	Spain
2020.92877	United Kingdom	France
2020.92879	United Kingdom	Spain
2020.92914	United Kingdom	Italy
2020.9297100000001	United Kingdom	India
2020.9308	United Kingdom	Poland
2020.93084	United Kingdom	Spain
2020.93095	United Kingdom	India
2020.93107	United Kingdom	USA
2020.9315	United Kingdom	Belgium
2020.93162	United Kingdom	USA
2020.93175	United Kingdom	Sweden
2020.9318	United Kingdom	Italy
2020.93183	United Kingdom	Turkey
2020.93297	United Kingdom	Greece
2020.93303	United Kingdom	Spain
2020.93321	United Kingdom	Netherlands
2020.93371	United Kingdom	Spain
2020.93373	United Kingdom	Brazil
2020.93375	United Kingdom	Spain
2020.9340300000001	United Kingdom	Turkey
2020.93442	United Kingdom	Portugal
2020.93461	United Kingdom	Sweden
2020.93514	USA	United Kingdom
2020.93526	India	USA
2020.93541	United Kingdom	Germany
2020.93561	United Kingdom	France
2020.93589	United Kingdom	Netherlands
2020.93626	Nigeria	Kenya
2020.93629	United Kingdom	France
2020.93658	United Kingdom	Belgium
2020.93686	Spain	Ireland
2020.93731	Spain	Poland
2020.93742	United Kingdom	Germany
2020.93742	France	Portugal
2020.93751	Sweden	Portugal
2020.93915	United Kingdom	Finland
2020.94011	Germany	Slovakia
2020.94068	USA	Argentina
2020.94082	United Kingdom	France
2020.94097	United Kingdom	Brazil
2020.94159	United Kingdom	Spain
2020.94301	United Kingdom	France
2020.9433	United Kingdom	USA
2020.94369	France	USA
2020.94454	United Kingdom	Netherlands
