EventTime	Origin	Destination
2020.719081	United Kingdom	USA
2020.729731	United Kingdom	France
2020.733061	United Kingdom	USA
2020.7338809999999	Ghana	United Kingdom
2020.735481	United Kingdom	Qatar
2020.772561	United Kingdom	USA
2020.7751309999999	United Kingdom	Philippines
2020.7927009999999	Qatar	Turkey
2020.7988509999998	United Kingdom	Israel
2020.801211	United Kingdom	Finland
2020.8155109999998	United Kingdom	Germany
2020.817091	United Kingdom	Malaysia
2020.826701	United Kingdom	Sweden
2020.8341309999998	United Kingdom	Germany
2020.835461	France	Bangladesh
2020.841041	United Kingdom	USA
2020.8462209999998	United Kingdom	South Africa
2020.855781	United Kingdom	Canada
2020.869131	United Kingdom	Germany
2020.869211	Germany	Belgium
2020.8692809999998	United Kingdom	Bangladesh
2020.870741	United Kingdom	Kenya
2020.870931	Ghana	Nigeria
2020.8760109999998	United Kingdom	Israel
2020.878421	United Kingdom	Senegal
2020.8788209999998	United Kingdom	Spain
2020.8865409999999	United Kingdom	Turkey
2020.892741	United Kingdom	USA
2020.8928509999998	Germany	Turkey
2020.893541	United Kingdom	Israel
2020.896861	United Kingdom	Egypt
2020.8985209999998	United Kingdom	Ghana
2020.901981	United Kingdom	Switzerland
2020.9049909999999	United Kingdom	Sweden
2020.9053009999998	United Kingdom	Germany
2020.9065509999998	United Kingdom	Reunion
2020.9066309999998	United Kingdom	Democratic Republic of the Congo
2020.908591	United Kingdom	New Zealand
2020.912101	United Kingdom	Morocco
2020.9131009999999	United Kingdom	Gabon
2020.914421	United Kingdom	Turkey
2020.9157209999998	Ghana	South Africa
2020.916061	Nigeria	Kenya
2020.9207709999998	United Kingdom	France
2020.9207709999998	United Kingdom	Pakistan
2020.9221909999999	United Kingdom	Spain
2020.922251	United Kingdom	Kenya
2020.922701	United Kingdom	Kenya
2020.922721	Ghana	Angola
2020.9230009999999	United Kingdom	Ghana
2020.925041	United Kingdom	Israel
2020.9269909999998	Nigeria	Malawi
2020.929101	United Kingdom	India
2020.9331909999999	Nigeria	United Kingdom
2020.9365409999998	Sweden	Finland
2020.9403009999999	United Kingdom	France
2020.942521	Germany	Finland
2020.942631	United Kingdom	France
2020.947201	United Kingdom	France
2020.947271	Morocco	Ghana
