EventTime	Origin	Destination
2020.83878	UNKNOWN	United Kingdom
2020.83881	United Kingdom	Portugal
2020.83906	United Kingdom	Poland
2020.83961	United Kingdom	Israel
2020.83969	United Kingdom	Poland
2020.83991	United Kingdom	India
2020.84021	United Kingdom	Netherlands
2020.84127	United Kingdom	Poland
2020.84146	United Kingdom	Sweden
2020.84157	United Kingdom	Greece
2020.84249	United Kingdom	Bulgaria
2020.84261	United Kingdom	Germany
2020.84327	United Kingdom	USA
2020.84411	United Kingdom	Germany
2020.84427	United Kingdom	Sweden
2020.8464	Israel	USA
2020.8464	United Kingdom	Spain
2020.84752	France	Germany
2020.84794	United Kingdom	Sweden
2020.84992	Cambodia	Thailand
2020.85177	Germany	Poland
2020.85211	Germany	USA
2020.85518	United Kingdom	Spain
2020.8552	United Kingdom	Spain
2020.85607	United Kingdom	USA
2020.85767	United Kingdom	Portugal
2020.85776	United Kingdom	India
2020.85819	United Kingdom	Romania
2020.85835	Netherlands	United Kingdom
2020.8591	Argentina	Mexico
2020.85912	United Kingdom	France
2020.85932	United Kingdom	Spain
2020.86041	United Kingdom	Portugal
2020.86044	Italy	Germany
2020.86054	United Kingdom	Poland
2020.86111	Germany	Slovakia
2020.86124	United Kingdom	Germany
2020.86175	United Kingdom	USA
2020.86175	United Kingdom	France
2020.86182	Spain	United Kingdom
2020.86192	United Kingdom	Poland
2020.86229	Spain	Ecuador
2020.8629	United Kingdom	Spain
2020.86319	United Kingdom	France
2020.86353	United Kingdom	France
2020.86384	Germany	United Kingdom
2020.86421	United Kingdom	Chile
2020.86457	United Kingdom	Portugal
2020.86479	USA	Italy
2020.86527	United Kingdom	Portugal
2020.86531	United Kingdom	Poland
2020.86549	Poland	United Kingdom
2020.86558	United Kingdom	Poland
2020.86568	India	Israel
2020.86608	United Kingdom	Portugal
2020.86613	Spain	United Kingdom
2020.86632	India	Germany
2020.86659	France	Germany
2020.86661	United Kingdom	Bulgaria
2020.86667	United Kingdom	Belgium
2020.86682	United Kingdom	France
2020.86719	Netherlands	Germany
2020.86772	United Kingdom	Poland
2020.86779	United Kingdom	Italy
2020.86841	Germany	Slovakia
2020.86858	France	Canada
2020.86909	United Kingdom	India
2020.86932	United Kingdom	Turkey
2020.86952	United Kingdom	Spain
2020.8697	France	Germany
2020.86975	United Kingdom	France
2020.87003	France	Denmark
2020.87008	United Kingdom	France
2020.87018	United Kingdom	Brazil
2020.87041	United Kingdom	Belgium
2020.87044	United Kingdom	Italy
2020.87122	United Kingdom	Colombia
2020.87156	United Kingdom	Portugal
2020.87157	United Kingdom	Germany
2020.87186	United Kingdom	India
2020.8723	United Kingdom	Poland
2020.87231	USA	Canada
2020.87265	United Kingdom	Brazil
2020.87294	United Kingdom	Netherlands
2020.87338	France	Portugal
2020.87351	Spain	Poland
2020.87394	France	USA
2020.87394	Nigeria	Kenya
2020.87396	United Kingdom	USA
2020.87445	United Kingdom	France
2020.8751	United Kingdom	Poland
2020.87549	Germany	Slovakia
2020.87617	United Kingdom	Poland
2020.87678	United Kingdom	India
2020.87755	United Kingdom	Sweden
2020.87789	Spain	Sweden
2020.87816	India	Brazil
2020.87827	Germany	Slovakia
2020.87848	United Kingdom	France
2020.87907	Portugal	France
2020.87949	United Kingdom	Latvia
2020.87958	France	United Kingdom
2020.87966	United Kingdom	Bulgaria
2020.87979	United Kingdom	France
2020.88035	Germany	Slovakia
2020.88109	France	Sweden
2020.88183	France	Germany
