EventTime	Origin	Destination
2021.85582	UNKNOWN	South Africa
2021.85613	South Africa	United Kingdom
2021.85678	South Africa	USA
2021.85725	USA	Brazil
2021.85734	France	Romania
2021.85797	United Kingdom	Italy
2021.8586	USA	Turkey
2021.85897	United Kingdom	Switzerland
2021.85965	France	Germany
2021.85992	USA	Argentina
2021.85998	USA	Germany
2021.86008	United Kingdom	USA
2021.86064	USA	Peru
2021.86082	USA	South Africa
2021.8612	Israel	Turkey
2021.86141	United Kingdom	Poland
2021.86157	United Kingdom	France
2021.86173	USA	Brazil
2021.86312	Italy	Norway
2021.86327	France	Sweden
2021.8637899999999	Brazil	USA
2021.86395	Canada	USA
2021.86428	USA	Turkey
2021.86483	United Kingdom	Germany
2021.8650499999999	United Kingdom	Italy
2021.86509	United Kingdom	Italy
2021.86538	United Kingdom	Italy
2021.86596	France	Germany
2021.86599	USA	Brazil
2021.86671	France	Sweden
2021.86672	Austria	Germany
2021.86697	France	United Kingdom
2021.86723	USA	Italy
2021.86731	United Kingdom	Colombia
2021.86736	USA	Italy
2021.86746	United Kingdom	Romania
2021.86754	Italy	Belgium
2021.86768	USA	Netherlands
2021.86801	Brazil	Turkey
2021.86821	France	South Africa
2021.86871	Spain	Germany
2021.86911	USA	Germany
2021.86916	Brazil	India
2021.86924	USA	Brazil
2021.86927	USA	France
2021.86946	United Kingdom	Netherlands
2021.86951	United Kingdom	France
2021.86997	Turkey	United Kingdom
2021.86998	Brazil	Slovakia
2021.87037	USA	Brazil
2021.8705	France	Russia
2021.87055	Portugal	Slovakia
2021.87064	United Kingdom	USA
2021.87095	Spain	France
2021.87112	USA	Argentina
2021.87127	USA	Mexico
2021.87131	USA	Peru
2021.87232	USA	Brazil
2021.87243	France	Sweden
2021.87245	United Kingdom	USA
2021.87259	Germany	Italy
2021.87313	United Kingdom	Italy
2021.87338	Poland	USA
2021.87346	Brazil	Germany
2021.87367	USA	France
2021.87373	Spain	Portugal
2021.87383	USA	United Kingdom
2021.87415	USA	South Africa
2021.87434	Germany	Austria
2021.87438	USA	France
2021.87444	United Kingdom	Portugal
2021.87445	United Kingdom	Italy
2021.87456	Spain	Germany
2021.87489	USA	United Kingdom
2021.87498	Australia	South Africa
2021.875	Italy	South Africa
2021.87502	USA	South Africa
2021.87542	Australia	Mexico
2021.87567	United Kingdom	Italy
2021.87567	Italy	Netherlands
2021.87574	United Kingdom	Poland
2021.87629	Australia	USA
2021.87657	United Kingdom	Portugal
2021.877	United Kingdom	Israel
2021.87711	Brazil	Iran
2021.87712	Brazil	Germany
2021.87713	United Kingdom	Italy
2021.87734	United Kingdom	France
2021.87752	Brazil	Peru
2021.87767	USA	United Kingdom
2021.87775	France	Germany
2021.87794	USA	Turkey
2021.87832	USA	Czech Republic
2021.87852	United Kingdom	Italy
2021.87853	USA	Italy
2021.8785599999999	United Kingdom	Spain
2021.8787	USA	United Kingdom
2021.87923	France	Netherlands
2021.88024	USA	United Kingdom
2021.8803599999999	USA	Brazil
2021.88057	Spain	Slovenia
2021.88066	United Kingdom	Spain
2021.8807199999999	USA	Mexico
2021.8816199999999	USA	Belgium
2021.8819	United Kingdom	Brazil
2021.88271	United Kingdom	Germany
2021.88321	Norway	Netherlands
2021.88324	USA	Iran
2021.88364	United Kingdom	Italy
2021.88382	France	Portugal
2021.88412	France	Germany
2021.88416	United Kingdom	Sweden
2021.88454	United Kingdom	Slovakia
2021.88459	Brazil	Belgium
2021.88497	Australia	South Africa
2021.88514	USA	United Kingdom
2021.88515	United Kingdom	Sweden
2021.88518	Brazil	France
2021.88559	Czech Republic	Germany
2021.88583	USA	Germany
2021.88585	USA	France
2021.88634	France	Russia
2021.88649	USA	Colombia
2021.88657	USA	Belgium
2021.88704	USA	Colombia
2021.8872	United Kingdom	Turkey
2021.88771	Brazil	United Kingdom
2021.88775	USA	Turkey
2021.88786	Brazil	Colombia
2021.88801	United Kingdom	Italy
2021.88806	USA	France
2021.8881	USA	France
2021.88829	Germany	Israel
2021.8888	USA	Czech Republic
2021.88903	Denmark	Germany
2021.88987	USA	Germany
2021.89026	USA	Brazil
2021.89033	USA	France
2021.89042	USA	United Kingdom
2021.89073	Spain	Italy
2021.89112	United Kingdom	Sweden
2021.89142	USA	Germany
2021.89143	Australia	Austria
2021.89144	Norway	Germany
2021.89152	USA	South Africa
2021.89191	USA	Italy
2021.89197	France	Brazil
2021.892	United Kingdom	France
2021.89201	United Kingdom	France
2021.89211	United Kingdom	Portugal
2021.89212	USA	Brazil
2021.8924	United Kingdom	France
2021.89247	USA	France
2021.89252	Brazil	Denmark
2021.89262	Denmark	France
2021.89301	USA	Spain
2021.89301	France	India
2021.8933	USA	Brazil
2021.89333	United Kingdom	Austria
2021.89385	USA	Brazil
2021.89401	USA	Brazil
2021.89414	USA	Ireland
2021.89417	USA	France
2021.89418	USA	South Africa
2021.89419	Norway	Netherlands
2021.89421	USA	India
2021.89429	USA	Germany
2021.89493	France	Germany
2021.8952199999999	USA	Colombia
2021.8958	USA	United Kingdom
2021.89602	United Kingdom	Slovakia
2021.8964	Germany	United Kingdom
2021.89676	United Kingdom	Germany
2021.89686	USA	South Africa
2021.89689	USA	South Africa
2021.89691	Turkey	Austria
2021.89691	USA	Netherlands
2021.89699	Belgium	Israel
2021.89701	USA	France
2021.89707	USA	Brazil
2021.89769	USA	United Kingdom
2021.8977399999999	South Africa	United Kingdom
2021.8980099999999	Spain	Italy
2021.89812	Germany	Indonesia
2021.89836	Brazil	Turkey
2021.89843	USA	Argentina
2021.89912	Brazil	France
2021.89915	USA	Argentina
2021.89923	Spain	Italy
2021.89942	USA	Australia
2021.89955	Italy	United Kingdom
2021.89965	Brazil	South Africa
2021.89965	Israel	Switzerland
2021.89967	Norway	South Africa
2021.89985	USA	Nigeria
2021.89999	United Kingdom	Italy
2021.90018	Denmark	Italy
2021.90025	USA	Sweden
2021.90026	USA	Czech Republic
2021.90095	France	United Kingdom
2021.90095	USA	India
2021.90099	USA	Israel
2021.90103	USA	United Kingdom
2021.90119	France	Germany
2021.90122	United Kingdom	Italy
2021.90127	United Kingdom	Belgium
2021.90127	South Africa	Australia
2021.90188	Austria	USA
2021.90214	United Kingdom	Italy
2021.90231	USA	Austria
2021.90237	USA	Belgium
2021.90238	South Africa	Russia
2021.90239	Portugal	Ireland
2021.90239	Portugal	Netherlands
2021.90239	USA	South Africa
2021.90239	United Kingdom	Lebanon
2021.9024	Brazil	Germany
2021.9024	USA	France
2021.90268	USA	Mexico
2021.90273	USA	Brazil
2021.90275	India	France
2021.90285	USA	United Kingdom
2021.90289	USA	United Kingdom
2021.90314	USA	Mexico
2021.90317	USA	Peru
2021.90333	United Kingdom	Italy
2021.90353	United Kingdom	Brazil
2021.90362	France	Germany
2021.90399	Italy	United Kingdom
2021.90416	Australia	USA
2021.90475	Spain	Italy
2021.90511	USA	South Africa
2021.90512	India	Lebanon
2021.90513	USA	South Africa
2021.90513	USA	Ireland
2021.90514	USA	South Africa
2021.90535	USA	Turkey
2021.90535	USA	Brazil
2021.90556	France	Germany
2021.90598	USA	South Africa
2021.906	USA	France
2021.90635	France	Brazil
2021.90682	USA	Colombia
2021.90689	USA	Argentina
2021.90742	USA	Germany
2021.90757	Brazil	Argentina
2021.90779	Peru	Spain
2021.90802	Australia	Norway
2021.90805	United Kingdom	Italy
2021.90823	United Kingdom	Luxembourg
2021.9083	USA	Portugal
2021.90836	Italy	United Kingdom
2021.90853	Spain	France
2021.90875	United Kingdom	Greece
2021.90875	USA	Canada
2021.90877	Brazil	South Africa
2021.90915	USA	Netherlands
2021.90937	Norway	Italy
2021.90951	Ireland	United Kingdom
2021.9096	USA	Israel
2021.90977	USA	Israel
2021.91028	USA	France
2021.91056	France	Austria
2021.91059	USA	South Africa
2021.91059	France	Austria
2021.9106	USA	Belgium
2021.91061	Australia	South Africa
2021.91061	Brazil	South Africa
2021.9106199999999	USA	Germany
2021.91064	USA	United Kingdom
2021.91064	United Kingdom	Austria
2021.91081	USA	France
2021.9109799999999	United Kingdom	France
2021.9109799999999	USA	Germany
2021.91245	Germany	South Korea
2021.91263	Italy	India
2021.91318	USA	United Kingdom
2021.9133	South Africa	Zimbabwe
2021.9133199999999	United Kingdom	France
2021.91334	Italy	South Africa
2021.91335	Turkey	Eswatini
2021.91336	Australia	Canada
2021.91336	USA	South Africa
2021.91336	Switzerland	Zimbabwe
2021.91337	Norway	Switzerland
2021.91338	USA	South Africa
2021.9134	Spain	Switzerland
2021.91374	USA	United Kingdom
2021.91396	France	Sweden
2021.91398	France	Switzerland
2021.91405	United Kingdom	France
2021.91407	France	USA
2021.91438	Brazil	USA
2021.91442	Netherlands	United Kingdom
2021.91451	Brazil	France
2021.91465	USA	Germany
2021.91489	United Kingdom	Argentina
2021.91544	USA	Israel
2021.91567	USA	United Kingdom
2021.91568	USA	Canada
2021.9157	United Kingdom	Italy
2021.91608	Australia	France
2021.91608	USA	Zimbabwe
2021.91608	USA	South Africa
2021.91608	France	Zimbabwe
2021.91609	Brazil	France
2021.91609	Austria	Belgium
2021.91609	USA	United Kingdom
2021.91609	Spain	Austria
2021.9161	France	Portugal
2021.91644	USA	Spain
2021.91647	France	Germany
2021.91656	United Kingdom	France
2021.91659	South Africa	Morocco
2021.91678	USA	Canada
2021.91691	United Kingdom	Italy
2021.91723	Spain	Israel
2021.9174	Turkey	Israel
2021.91798	Italy	United Kingdom
2021.91809	USA	France
2021.91836	United Kingdom	Romania
2021.9185	USA	Italy
2021.91876	France	USA
2021.91881	USA	South Africa
2021.91881	United Kingdom	Netherlands
2021.91881	USA	South Africa
2021.91881	France	Switzerland
2021.91882	Portugal	South Africa
2021.91883	USA	Brazil
2021.91883	USA	South Africa
2021.91885	United Kingdom	France
2021.91885	Italy	South Africa
2021.91886	USA	Netherlands
2021.91888	USA	United Kingdom
2021.91913	Spain	Italy
2021.91988	Brazil	India
2021.92035	United Kingdom	Italy
2021.92038	United Kingdom	Italy
2021.92068	USA	Argentina
2021.92099	United Kingdom	Brazil
2021.92117	United Kingdom	Poland
2021.92151	United Kingdom	France
2021.92155	USA	South Africa
2021.92157	USA	South Africa
2021.92158	United Kingdom	USA
2021.92158	France	Ireland
2021.92161	USA	Netherlands
2021.92162	France	Ireland
2021.92162	Israel	Brazil
2021.92198	USA	Brazil
2021.92201	Italy	Greece
2021.92235	Sweden	Denmark
2021.92235	USA	Israel
2021.92289	USA	Brazil
2021.92294	USA	Argentina
2021.92309	France	USA
2021.92326	Spain	Finland
2021.92371	USA	France
2021.92373	France	Belgium
2021.92379	USA	France
2021.92428	USA	Ireland
2021.92428	South Africa	Russia
2021.92431	USA	Germany
2021.92433	Italy	United Kingdom
2021.9244	USA	Vietnam
2021.92445	South Africa	United Kingdom
2021.92448	France	Belgium
2021.92475	USA	Russia
2021.92509	USA	Italy
2021.92523	Belgium	Brazil
2021.92533	United Kingdom	France
2021.92542	France	Lithuania
2021.92597	USA	Czech Republic
2021.92601	USA	Chile
2021.9261999999999	France	Czech Republic
2021.92669	Israel	Botswana
2021.92704	United Kingdom	Portugal
2021.92705	USA	South Africa
2021.92706	Turkey	South Africa
2021.92707	United Kingdom	Netherlands
2021.92707	India	Italy
2021.9270999999999	United Kingdom	Portugal
2021.92741	Germany	Sweden
2021.9275	United Kingdom	Portugal
2021.92753	France	United Kingdom
2021.92775	United Kingdom	Italy
2021.9281	Norway	Italy
2021.92848	USA	Chile
2021.92862	USA	United Kingdom
2021.92893	France	Portugal
2021.92896	USA	Israel
2021.92931	USA	Brazil
2021.92933	Germany	Turkey
2021.92973	USA	Canada
2021.92973	USA	South Africa
2021.92976	USA	Zimbabwe
2021.92977	Australia	Zimbabwe
2021.92977	USA	South Africa
2021.92978	Australia	Panama
2021.92978	USA	South Africa
