EventTime	Origin	Destination
2021.8791	UNKNOWN	South Africa
2021.87993	South Africa	United Kingdom
2021.8815100000002	South Africa	Brazil
2021.8821900000003	United Kingdom	South Africa
2021.88261	South Africa	India
2021.8845600000002	South Africa	United Kingdom
2021.8891	South Africa	India
2021.8907100000001	South Africa	Denmark
2021.8918	United Kingdom	South Africa
2021.8925900000002	United Kingdom	USA
2021.8927700000002	South Africa	India
2021.8961000000002	India	United Kingdom
2021.8986700000003	United Kingdom	India
2021.8995800000002	South Africa	India
2021.8997900000002	Denmark	South Africa
2021.8999900000001	India	United Kingdom
2021.9004800000002	South Africa	United Kingdom
2021.9008300000003	South Africa	Botswana
2021.90091	United Kingdom	South Africa
2021.9011600000001	South Africa	Mozambique
2021.9020600000001	United Kingdom	India
2021.9065900000003	India	South Africa
2021.9093400000002	South Africa	India
2021.91558	South Africa	Israel
2021.9157300000002	Denmark	Brazil
2021.9176900000002	South Africa	Botswana
2021.9195700000002	South Africa	United Kingdom
2021.9208800000001	South Africa	India
2021.9212100000002	South Africa	Algeria
2021.9235700000002	South Africa	Brazil
2021.9241600000003	South Africa	United Kingdom
2021.9250000000002	United Kingdom	South Africa
2021.9275200000002	South Africa	Botswana
2021.9275200000002	USA	Mauritius
2021.9278700000002	South Africa	Mozambique
2021.9287000000002	South Africa	India
2021.9300700000001	South Africa	India
2021.9311000000002	South Africa	Denmark
2021.9311400000001	South Africa	Sweden
2021.9339100000002	South Africa	Mozambique
2021.9360600000002	South Africa	India
2021.93611	United Kingdom	South Africa
2021.93665	South Africa	Mozambique
2021.93937	India	South Africa
2021.9394000000002	United Kingdom	South Africa
2021.94079	South Africa	USA
2021.94081	United Kingdom	India
2021.94124	USA	Brunei
2021.9414800000002	Denmark	Germany
2021.9419900000003	South Africa	Denmark
2021.9435200000003	Botswana	India
2021.9436	India	Botswana
2021.9436500000002	USA	Philippines
2021.9447900000002	South Africa	Rwanda
2021.94486	South Africa	Mozambique
2021.9448700000003	Denmark	United Kingdom
2021.9455600000001	United Kingdom	South Africa
2021.9459700000002	United Kingdom	Qatar
2021.9464500000001	United Kingdom	Germany
2021.94783	United Kingdom	Denmark
2021.9491900000003	Denmark	Slovakia
2021.9494800000002	South Africa	United Kingdom
2021.9499300000002	South Africa	United Kingdom
2021.9521200000001	South Africa	United Kingdom
2021.9523500000003	South Africa	Mauritius
2021.9530700000003	South Africa	USA
2021.9530700000003	United Kingdom	Kenya
2021.9535200000003	India	United Kingdom
2021.9546100000002	USA	Canada
2021.9548700000003	South Africa	United Kingdom
2021.9554300000002	United Kingdom	South Africa
2021.95547	South Africa	Mozambique
2021.9558000000002	India	South Africa
2021.9582300000002	South Africa	India
2021.95854	South Africa	Mozambique
2021.9587900000001	India	United Kingdom
2021.95927	Denmark	Brazil
2021.9600100000002	United Kingdom	India
2021.9606800000001	Mauritius	Mozambique
2021.9610900000002	South Africa	Botswana
2021.96196	Denmark	Sweden
2021.9631500000003	United Kingdom	Botswana
2021.9639300000001	Denmark	Brazil
2021.9650600000002	India	United Kingdom
2021.9652700000001	South Africa	Botswana
2021.9667700000002	India	South Africa
2021.9667700000002	India	Singapore
2021.9673200000002	India	South Africa
2021.9676800000002	USA	Brunei
2021.9685700000002	South Africa	United Kingdom
2021.9689300000002	South Africa	United Kingdom
2021.96961	United Kingdom	India
2021.97087	India	United Kingdom
2021.9713000000002	Denmark	Germany
2021.9735200000002	South Africa	United Kingdom
2021.97368	Botswana	South Africa
2021.97503	United Kingdom	India
2021.9753500000002	South Africa	United Kingdom
2021.9758700000002	South Africa	United Kingdom
2021.9766600000003	United Kingdom	India
2021.97719	United Kingdom	South Africa
2021.9782300000002	United Kingdom	Hong Kong
2021.9796000000001	South Africa	Indonesia
2021.9804600000002	South Africa	India
2021.9804700000002	United Kingdom	Kenya
2021.9804700000002	USA	Philippines
2021.9817200000002	South Africa	India
2021.98321	India	South Africa
2021.9837700000003	South Africa	Botswana
2021.9842300000003	South Africa	Sweden
2021.9845200000002	Denmark	Brazil
2021.9848900000002	South Africa	Israel
