EventTime	Origin	Destination
2020.69334	UNKNOWN	South Africa
2020.70209	South Africa	Zimbabwe
2020.70974	South Africa	Mozambique
2020.72133	South Africa	Angola
2020.76167	South Africa	Turkey
2020.7716500000001	South Africa	France
2020.77672	South Africa	Sweden
2020.78171	South Africa	Botswana
2020.7842	South Africa	Angola
2020.78518	South Africa	USA
2020.78598	South Africa	France
2020.7868700000001	South Africa	Mozambique
2020.7879500000001	South Africa	Angola
2020.7920100000001	South Africa	Angola
2020.79484	Angola	South Africa
2020.80555	South Africa	Zambia
2020.8081	South Africa	Malawi
2020.81904	Angola	South Africa
2020.82176	South Africa	Angola
2020.82552	South Africa	France
2020.826	Mozambique	South Africa
2020.83269	South Africa	Angola
2020.8327	South Africa	Angola
2020.83665	South Africa	Turkey
2020.8414500000001	Angola	South Africa
2020.84327	France	United Kingdom
2020.84635	South Africa	Angola
2020.84636	South Africa	Angola
2020.8488	South Africa	France
2020.84933	South Africa	Zimbabwe
2020.85004	South Africa	Germany
2020.85029	South Africa	Malawi
2020.8518100000001	Angola	South Africa
2020.85266	South Africa	USA
2020.85554	South Africa	USA
2020.85709	South Africa	Malawi
2020.86239	South Africa	Mozambique
2020.86275	Mozambique	South Africa
2020.8692	South Africa	Malawi
2020.86987	South Africa	Germany
2020.87073	South Africa	Botswana
2020.87295	South Africa	Mozambique
2020.87446	South Africa	Sweden
2020.87614	South Africa	France
2020.87885	South Africa	Mozambique
2020.88186	South Africa	Israel
2020.8826900000001	Zimbabwe	South Africa
2020.88913	South Africa	Zambia
2020.8900700000002	South Africa	Mozambique
2020.89085	South Africa	Zimbabwe
2020.8911500000002	South Africa	Belgium
2020.89281	France	India
2020.8929	South Africa	Zimbabwe
2020.89351	South Africa	Kenya
2020.89352	South Africa	Zimbabwe
2020.8982700000001	Angola	South Africa
2020.8988200000001	South Africa	Bangladesh
2020.90086	France	Netherlands
2020.90177	South Africa	USA
2020.90257	Zimbabwe	South Africa
2020.90345	South Africa	Qatar
2020.90374	South Africa	Mozambique
2020.9065500000002	South Africa	Netherlands
2020.9094400000001	South Africa	Malawi
2020.9115	South Africa	USA
2020.91194	Angola	South Africa
2020.91265	South Africa	Austria
2020.9158	South Africa	Botswana
2020.9190700000001	South Africa	Eswatini
2020.91947	South Africa	Zimbabwe
2020.92238	South Africa	Zimbabwe
2020.92417	South Africa	France
2020.9255600000001	United Kingdom	Sweden
2020.92695	South Africa	Botswana
2020.92788	Malawi	South Africa
2020.929	South Africa	USA
2020.93098	France	Germany
2020.9327	South Africa	Malawi
2020.93284	South Africa	Germany
2020.93301	Malawi	South Africa
2020.93387	South Africa	Mozambique
2020.93399	France	Luxembourg
2020.9340200000001	South Africa	Sweden
2020.93815	Zimbabwe	Netherlands
2020.9384	South Africa	Turkey
2020.94001	South Africa	Zimbabwe
2020.94025	South Africa	Canada
2020.94201	South Africa	Zimbabwe
2020.94531	South Africa	Angola
2020.9458200000001	South Africa	Turkey
2020.9464	South Africa	Spain
2020.94758	South Africa	Mozambique
2020.94815	South Africa	Malawi
2020.94832	Zimbabwe	United Kingdom
2020.94839	South Africa	USA
2020.9488800000001	South Africa	Turkey
2020.94896	South Africa	Malawi
2020.95019	USA	Finland
2020.95157	Zambia	France
2020.95363	Zambia	Zimbabwe
2020.95415	Mozambique	South Africa
2020.9554500000002	Mozambique	South Africa
2020.9556300000002	South Africa	Eswatini
2020.95597	South Africa	Switzerland
2020.9566	South Africa	Zimbabwe
2020.95677	South Africa	United Kingdom
2020.95687	Zambia	Kenya
2020.95799	South Africa	USA
2020.95837	Germany	South Africa
2020.95837	Germany	South Africa
2020.96036	South Africa	Mozambique
2020.961	South Africa	Malawi
2020.96111	South Africa	Eswatini
2020.96146	South Africa	Canada
2020.96234	South Africa	Mozambique
2020.96405	USA	Finland
2020.96655	Malawi	South Africa
2020.9667100000001	South Africa	Botswana
2020.96821	Kenya	France
2020.9697800000001	Malawi	Mozambique
2020.97064	South Africa	Malawi
2020.97073	Sweden	Germany
2020.97073	South Africa	Kenya
2020.97144	Zimbabwe	Malaysia
2020.97235	Zimbabwe	South Africa
2020.9741000000001	South Africa	Angola
2020.97444	South Africa	Germany
2020.97505	Zambia	Turkey
2020.9754500000001	South Africa	Turkey
2020.97832	South Africa	Zimbabwe
2020.97961	South Africa	Mozambique
2020.98092	Zimbabwe	United Kingdom
2020.9813100000001	South Africa	Zimbabwe
2020.9824	South Africa	France
2020.98377	South Africa	Switzerland
2020.9840100000001	Germany	Slovakia
2020.98538	South Africa	Turkey
2020.9856	South Africa	Turkey
2020.98569	South Africa	Mozambique
2020.98605	Zambia	United Kingdom
2020.98675	South Africa	Germany
2020.98737	Luxembourg	Germany
2020.9884200000001	South Africa	Mozambique
2020.98992	South Africa	Belgium
2020.99064	Zimbabwe	Turkey
2020.99079	South Africa	Kenya
2020.99114	South Africa	Mauritius
2020.99204	South Africa	Zimbabwe
2020.99357	South Africa	Zimbabwe
2020.9939200000001	USA	South Africa
2020.99452	South Africa	France
2020.9966100000001	South Africa	Angola
2020.99663	South Africa	Angola
2020.99663	South Africa	Angola
2020.99673	Malawi	South Africa
2020.9967900000001	South Africa	Zimbabwe
2020.99809	Zimbabwe	Germany
2020.9982	Mozambique	South Africa
2020.9984	Netherlands	Belgium
2020.99933	USA	South Africa
2020.99937	South Africa	Angola
2021.0018400000001	South Africa	Mozambique
2021.00207	South Africa	United Kingdom
2021.00209	South Africa	Angola
2021.0025	South Africa	Zimbabwe
2021.0031000000001	South Africa	Mozambique
2021.0034500000002	South Africa	France
2021.00379	South Africa	Japan
2021.00428	South Africa	Malawi
2021.00474	South Africa	Turkey
2021.00482	South Africa	Zimbabwe
2021.00483	South Africa	Angola
2021.00483	South Africa	United Kingdom
2021.00531	South Africa	Zimbabwe
2021.0053500000001	South Africa	Malawi
2021.00583	South Africa	Netherlands
2021.00599	South Africa	Spain
2021.00636	South Africa	Israel
2021.00753	South Africa	United Kingdom
2021.00754	South Africa	United Kingdom
2021.0079	South Africa	Botswana
2021.0080500000001	South Africa	Botswana
2021.0084100000001	Malawi	South Africa
2021.0084200000001	South Africa	Zimbabwe
2021.00942	South Africa	Germany
2021.01125	South Africa	Germany
2021.01137	South Africa	Ireland
2021.0130000000001	South Africa	Switzerland
2021.0130000000001	Zambia	United Kingdom
2021.01302	South Africa	Zimbabwe
2021.0136	Malawi	South Africa
2021.0144500000001	South Africa	Mozambique
2021.01502	Kenya	Netherlands
2021.01572	South Africa	United Kingdom
2021.01572	Botswana	South Africa
2021.01573	South Africa	Switzerland
2021.01578	South Africa	United Kingdom
2021.01611	United Kingdom	Zambia
2021.01648	Zambia	Sweden
2021.0165200000001	South Africa	Malawi
2021.0176000000001	South Africa	Equatorial Guinea
2021.0182	South Africa	Zimbabwe
2021.01845	South Africa	Lesotho
2021.01847	South Africa	United Kingdom
2021.01847	South Africa	Lesotho
2021.01847	South Africa	United Kingdom
2021.0186	France	Greece
2021.01887	South Africa	Mozambique
2021.01933	USA	Canada
2021.01943	South Africa	Malawi
2021.02117	Germany	South Africa
2021.02119	South Africa	Zimbabwe
2021.02119	South Africa	United Kingdom
2021.02121	South Africa	Zimbabwe
2021.02122	South Africa	Zimbabwe
2021.02122	South Africa	Zimbabwe
2021.02133	South Africa	India
2021.02155	South Africa	Mozambique
2021.02212	Germany	Turkey
2021.02225	South Africa	Netherlands
2021.0222800000001	South Africa	United Kingdom
2021.02263	South Africa	Turkey
2021.02319	South Africa	United Kingdom
2021.02324	South Africa	Malawi
2021.02392	South Africa	Zimbabwe
2021.02392	USA	South Africa
2021.02393	Zimbabwe	South Africa
2021.02393	South Africa	United Kingdom
2021.02433	South Africa	United Kingdom
2021.02558	South Africa	Zimbabwe
2021.0259700000001	South Africa	Zimbabwe
2021.02665	South Africa	United Kingdom
2021.02667	South Africa	Zimbabwe
2021.02667	South Africa	Finland
2021.027	South Africa	Equatorial Guinea
2021.0274100000001	South Africa	Germany
2021.02797	France	Turkey
2021.0280500000001	South Africa	Israel
2021.02845	Mozambique	South Africa
2021.0294000000001	Angola	South Africa
2021.0294000000001	South Africa	Botswana
2021.02943	South Africa	United Arab Emirates
2021.02956	South Africa	Zimbabwe
2021.03014	South Africa	Mozambique
2021.03019	South Africa	Malawi
2021.03139	South Africa	Kenya
2021.03212	USA	South Africa
2021.03212	Mozambique	South Africa
2021.03212	South Africa	Germany
2021.03212	Zambia	United Kingdom
2021.03214	Mozambique	South Africa
2021.0321800000002	France	Switzerland
2021.03343	South Africa	Turkey
2021.03378	South Africa	Mozambique
2021.03484	South Africa	Zimbabwe
2021.03486	South Africa	United Kingdom
2021.03486	South Africa	Netherlands
