EventTime	Origin	Destination
2020.39868	UNKNOWN	South Africa
2020.54659	UNKNOWN	South Africa
2020.57624	Angola	South Africa
2020.59824	South Africa	Zimbabwe
2020.60119	South Africa	Angola
2020.60857	Angola	South Africa
2020.62037	Angola	South Africa
2020.64769	South Africa	Angola
2020.65171	South Africa	Mozambique
2020.65315	South Africa	Angola
2020.65315	South Africa	Angola
2020.65894	Angola	South Africa
2020.6690800000001	South Africa	Mozambique
2020.66975	South Africa	Mozambique
2020.67254	South Africa	Angola
2020.68139	Zimbabwe	South Africa
2020.70234	South Africa	Angola
2020.70234	South Africa	Angola
2020.70507	Angola	South Africa
2020.70592	South Africa	Bangladesh
2020.71351	South Africa	Mayotte
2020.71878	South Africa	Botswana
2020.71912	South Africa	Zimbabwe
2020.72046	South Africa	Sweden
2020.72123	South Africa	France
2020.73281	South Africa	Philippines
2020.74395	South Africa	Zimbabwe
2020.74565	South Africa	Kenya
2020.7460800000001	Mayotte	Madagascar
2020.75114	South Africa	Zambia
2020.7541	South Africa	Turkey
2020.75425	Angola	South Africa
2020.7569700000001	South Africa	Angola
2020.76306	South Africa	Angola
2020.76576	South Africa	Botswana
2020.76601	Zimbabwe	South Africa
2020.76645	South Africa	Zimbabwe
2020.76791	Angola	South Africa
2020.76844	Zimbabwe	South Africa
2020.76876	South Africa	Malawi
2020.77254	South Africa	Malawi
2020.77512	South Africa	Norway
2020.77515	Mozambique	South Africa
2020.77611	South Africa	Mozambique
2020.77701	South Africa	USA
2020.78071	South Africa	Eswatini
2020.78762	South Africa	Botswana
2020.7898400000001	South Africa	Finland
2020.79041	South Africa	Botswana
2020.79161	South Africa	Botswana
2020.79171	South Africa	Botswana
2020.79632	South Africa	Botswana
2020.79693	South Africa	Zimbabwe
2020.79811	South Africa	Turkey
2020.7987	Norway	USA
2020.8007	Mayotte	South Africa
2020.80086	South Africa	USA
2020.80423	South Africa	Zimbabwe
2020.80644	South Africa	Malawi
2020.80657	South Africa	Malawi
2020.8080400000001	South Africa	India
2020.81005	South Africa	Malawi
2020.81093	South Africa	Israel
2020.81158	South Africa	Eswatini
2020.81159	South Africa	Eswatini
2020.81168	South Africa	Malawi
2020.81208	South Africa	USA
2020.8130800000001	South Africa	France
2020.81527	South Africa	Mozambique
2020.81609	South Africa	Mozambique
2020.81705	South Africa	Eswatini
2020.81882	South Africa	Zimbabwe
2020.82157	South Africa	Mozambique
2020.82231	South Africa	Zimbabwe
2020.8225400000001	Malawi	South Africa
2020.82255	Zimbabwe	South Africa
2020.82332	South Africa	Mozambique
2020.82525	South Africa	Botswana
2020.82736	South Africa	Switzerland
2020.8280300000001	Botswana	South Africa
2020.82868	South Africa	Namibia
2020.82899	South Africa	Malawi
2020.82906	South Africa	Botswana
2020.82948	South Africa	Mozambique
2020.83231	India	France
2020.83305	South Africa	Turkey
2020.83328	South Africa	Sweden
2020.8347	Eswatini	South Africa
2020.83621	South Africa	Angola
2020.83723	South Africa	France
2020.8389300000001	South Africa	Angola
2020.83894	South Africa	Angola
2020.8406300000001	South Africa	Zambia
2020.84087	Zimbabwe	South Africa
2020.8411800000001	South Africa	Mozambique
2020.84134	Malawi	South Africa
2020.8419900000001	South Africa	United Kingdom
2020.84524	Zambia	Zimbabwe
2020.8457700000001	South Africa	Malawi
2020.84591	South Africa	Mozambique
2020.84687	Zimbabwe	United Kingdom
