EventTime	Origin	Destination
2020.68567	UNKNOWN	India
2020.8288499999999	India	United Kingdom
2020.98242	India	Turkey
2021.00244	United Kingdom	India
2021.0131999999999	India	Mexico
2021.01642	Russia	Ukraine
2021.05629	India	Spain
2021.06028	India	USA
2021.08477	India	Nepal
2021.09759	India	France
2021.1013	India	Egypt
2021.1071	India	Uganda
2021.10945	Mexico	Slovakia
2021.10948	United Kingdom	Slovakia
2021.11093	India	Pakistan
2021.11602	India	France
2021.12327	India	France
2021.14787	India	Jordan
2021.15082	India	USA
2021.1575	India	United Kingdom
2021.15815	France	Italy
2021.16489	Mexico	USA
2021.17781	India	South Africa
2021.17787	India	United Kingdom
2021.1788	India	Nepal
2021.18155	India	Indonesia
2021.18705	India	Japan
2021.19327	India	South Africa
2021.19369	India	Turkey
2021.19547	India	USA
2021.2045	Spain	Indonesia
2021.20536	India	Italy
2021.20536	India	Indonesia
2021.21027	India	Turkey
2021.2119	France	Spain
2021.22004	India	Turkey
2021.22906	India	Turkey
2021.23586	India	USA
2021.23603	India	Turkey
2021.23616	Russia	Thailand
2021.2384	USA	Malaysia
2021.23875	India	Turkey
2021.23949	Turkey	Germany
2021.24331	India	Japan
2021.24455	India	Malaysia
2021.24513	India	Mexico
2021.24538	India	Indonesia
2021.24655	India	Russia
2021.25008	India	USA
2021.25598	United Kingdom	USA
2021.25744	India	Japan
2021.25803	India	United Kingdom
2021.25931	India	Russia
2021.2601399999999	India	Russia
2021.26677	India	Turkey
2021.2715	Turkey	Russia
2021.27242	India	Thailand
2021.2793199999999	France	United Kingdom
2021.2794099999999	India	Nepal
2021.28483	India	Singapore
2021.28486	India	Bangladesh
2021.28578	USA	Costa Rica
2021.28702	India	Malaysia
2021.28734	India	USA
2021.28922	India	Singapore
2021.29018	India	South Africa
2021.29107	United Kingdom	Spain
2021.29406	India	USA
2021.2957999999999	India	Japan
2021.29658	India	South Africa
2021.29813	Turkey	Iran
2021.29837	France	Germany
2021.3007499999999	India	South Africa
2021.30089	India	Bangladesh
2021.30227	India	Iran
2021.30231	India	Russia
2021.3031	Turkey	Israel
2021.30401	India	Japan
2021.30671	India	Singapore
2021.30674	Turkey	India
2021.30862	India	Spain
2021.30941	India	Bangladesh
2021.30948	India	South Korea
2021.3101	United Kingdom	Portugal
2021.31179	India	USA
2021.31191	India	Bangladesh
2021.31223	India	Singapore
2021.31348	India	Bangladesh
2021.31461	India	Zambia
2021.31767	India	Singapore
2021.3177	India	Japan
2021.32302	India	Philippines
2021.32315	India	USA
2021.32317	India	Iran
2021.32319	India	Japan
2021.32319	Turkey	Iran
2021.32564	India	Malaysia
2021.32635	India	Russia
2021.32684	Russia	Singapore
2021.32731	India	Russia
2021.32862	India	Iran
2021.32875	Spain	United Kingdom
2021.32886	India	United Kingdom
2021.32958	Turkey	India
2021.32998	India	Bangladesh
2021.33004	India	Pakistan
2021.33034	India	USA
2021.33043	Turkey	Israel
2021.33054	India	Russia
2021.33138	India	Japan
2021.33231	India	Spain
2021.33411	India	Japan
2021.33412	India	Nepal
2021.33414	India	Singapore
2021.33444	India	South Africa
2021.33607	India	Poland
2021.3368699999999	India	Italy
2021.33695	India	Russia
2021.3371399999999	India	Turkey
2021.3374	France	Greece
2021.3381299999999	India	Pakistan
2021.33908	India	Malaysia
2021.3398399999999	India	South Africa
2021.34024	India	South Africa
2021.34117	United Kingdom	Portugal
2021.34221	India	USA
2021.34237	India	Japan
2021.34325	Spain	France
2021.34441	Russia	Germany
2021.34783	India	Japan
2021.34978	Russia	Germany
2021.35056	India	Japan
2021.35059	Russia	India
2021.35076	India	Thailand
2021.35139	India	Bangladesh
2021.35163	Russia	Germany
2021.35192	South Africa	United Kingdom
2021.35231	India	Bangladesh
2021.35279	India	France
2021.3533	India	Japan
2021.35331	Turkey	India
2021.35333	India	Nepal
2021.35604	India	Singapore
2021.3560499999999	India	Nepal
2021.35675	India	Sri Lanka
2021.3575	India	Zambia
2021.35752	India	USA
2021.35835	India	United Kingdom
2021.35982	Mexico	USA
2021.3606399999999	Russia	Greece
2021.36086	India	Israel
2021.36277	United Kingdom	France
2021.36306	India	Indonesia
2021.36472	France	Spain
2021.36647	India	Turkey
2021.36701	India	USA
2021.36835	India	Turkey
2021.36868	India	Turkey
2021.37123	Russia	Indonesia
2021.37125	India	Pakistan
2021.3723499999999	Spain	Germany
2021.37249	United Kingdom	India
2021.3725	South Africa	Brazil
2021.37474	Turkey	Germany
2021.37601	Nepal	Philippines
2021.37633	India	Germany
2021.3770299999999	India	Turkey
2021.37796	India	Nepal
2021.37987	India	France
2021.38053	USA	Mexico
2021.38074	USA	Canada
2021.38113	Russia	USA
2021.38372	United Kingdom	South Africa
2021.38401	India	Nepal
2021.38489	South Africa	Brazil
2021.38619	India	Japan
2021.3862199999999	India	Japan
2021.38799	Mexico	USA
2021.3889199999999	Indonesia	Malaysia
2021.38894	United Kingdom	India
2021.38894	India	Pakistan
2021.39008	India	United Kingdom
2021.39025	India	Russia
2021.3902699999999	India	Botswana
2021.39086	India	Turkey
2021.39133	United Kingdom	Switzerland
2021.39232	India	Germany
2021.39272	India	Finland
2021.39437	India	Singapore
2021.39467	Spain	Georgia
2021.39474	India	Nepal
2021.39491	Turkey	Pakistan
2021.39506	United Kingdom	Greece
2021.3952	India	Israel
2021.396	France	Brazil
2021.39625	India	Indonesia
2021.39716	India	Russia
2021.3972899999999	Turkey	Germany
2021.3989	Turkey	Germany
2021.39918	India	South Korea
2021.39944	India	Turkey
2021.40008	India	Turkey
2021.40043	Turkey	Germany
2021.40061	India	Turkey
2021.4026	India	Bahrain
2021.40282	India	Bangladesh
2021.40399	India	United Kingdom
2021.40454	India	Turkey
2021.40533	India	Indonesia
2021.40534	India	Bahrain
2021.4055	India	Romania
2021.40632	France	Spain
2021.4068399999999	Mexico	USA
2021.40708	Mexico	USA
2021.40812	Russia	India
2021.40853	India	Spain
2021.40973	India	Bangladesh
2021.40979	Russia	France
2021.4104	Turkey	Germany
2021.41045	Japan	Croatia
2021.41084	Russia	South Korea
2021.4112499999999	United Kingdom	Costa Rica
2021.4129599999999	India	USA
2021.41357	India	Russia
2021.41357	India	Nepal
2021.41405	Turkey	Germany
2021.41482	France	Spain
2021.41588	India	Bangladesh
2021.4162999999999	India	France
2021.41632	United Kingdom	India
2021.41633	Turkey	India
2021.41642	Russia	South Korea
2021.41691	France	Spain
2021.4175	France	Spain
2021.41787	India	Malaysia
2021.41856	India	Sri Lanka
2021.41908	South Africa	United Kingdom
2021.4190899999999	Mexico	Guatemala
2021.4194	Mexico	Brazil
2021.42178	India	France
2021.42229	South Africa	United Kingdom
2021.42237	India	South Africa
2021.4227799999999	India	Germany
2021.42304	France	Israel
2021.42381	Mexico	Colombia
2021.4241	Russia	Georgia
2021.42455	United Kingdom	India
2021.4245799999999	India	South Africa
2021.42681	Mexico	USA
2021.42714	India	Netherlands
2021.4272799999999	India	Singapore
2021.42862	Mexico	USA
2021.42943	South Africa	United Kingdom
2021.4294399999999	USA	Mexico
2021.43001	Portugal	Spain
2021.43032	India	Thailand
2021.43083	Russia	Turkey
2021.4311	India	Malaysia
