EventTime	Origin	Destination
2019.95625	UNKNOWN	China
2020.46442	UNKNOWN	India
2020.98778	India	Kenya
2020.99784	India	Rwanda
2021.01065	India	South Africa
2021.0289799999998	India	South Africa
2021.0473499999998	India	United Kingdom
2021.05098	India	Italy
2021.0603199999998	India	Botswana
2021.0893999999998	India	Liberia
2021.0987699999998	India	Rwanda
2021.12049	India	Malaysia
2021.1228099999998	India	Turkey
2021.12593	India	Kenya
2021.14287	India	South Africa
2021.1445199999998	India	United Kingdom
2021.1467599999999	India	Malawi
2021.1476799999998	India	South Africa
2021.1503699999998	India	Turkey
2021.15899	India	Senegal
2021.1615	India	Spain
2021.16265	India	Kenya
2021.16625	India	USA
2021.1666	India	United Kingdom
2021.16728	India	South Africa
2021.1691099999998	India	Ghana
2021.1727099999998	Turkey	South Africa
2021.17438	India	Uganda
2021.17489	India	South Africa
2021.17543	South Africa	Botswana
2021.18094	Nigeria	Burkina Faso
2021.18096	Kenya	Zambia
2021.18533	India	Uganda
2021.18921	India	Canada
2021.1912499999999	India	Togo
2021.1918799999999	Kenya	Rwanda
2021.1918899999998	United Kingdom	Germany
2021.19464	Nigeria	Burkina Faso
2021.19614	India	South Africa
2021.2015199999998	India	USA
2021.20605	India	USA
2021.21193	India	Denmark
2021.21778	India	Ghana
2021.22201	South Africa	Ethiopia
2021.22226	India	South Africa
2021.2247599999998	India	United Kingdom
2021.2275	India	Australia
2021.22751	India	Germany
2021.22794	India	Indonesia
2021.22938	India	South Africa
2021.22957	India	Guinea
2021.22966	India	Angola
2021.23192	India	Morocco
2021.23257	Botswana	Egypt
2021.23299	India	Liberia
2021.2351899999999	United Kingdom	South Africa
2021.2365599999998	India	France
2021.23958	India	Mozambique
2021.24135	India	France
2021.24283	India	Ghana
2021.2431	India	Ghana
2021.2439499999998	India	Liberia
2021.24443	India	USA
2021.2448399999998	South Africa	Namibia
2021.2461099999998	India	USA
2021.2472799999998	India	Malawi
2021.2481699999998	India	Spain
2021.24833	India	Democratic Republic of the Congo
2021.2489799999998	India	USA
2021.2492	India	Ghana
2021.2494299999998	Ghana	Togo
2021.24948	India	Sierra Leone
2021.25065	India	Mexico
2021.2519599999998	India	Kenya
2021.25355	Spain	Finland
2021.2538499999998	India	South Africa
2021.25397	India	Seychelles
2021.25489	India	United Kingdom
2021.25505	India	Germany
2021.25621	India	Algeria
2021.2576399999998	India	USA
2021.25999	India	South Africa
2021.26039	Nigeria	Burkina Faso
2021.26264	Liberia	Nigeria
2021.2626699999998	Senegal	France
2021.263	India	United Kingdom
2021.26315	Zambia	Turkey
2021.26318	India	South Africa
2021.2633899999998	France	Democratic Republic of the Congo
2021.2641999999998	India	United Kingdom
2021.2651099999998	India	USA
2021.26585	India	USA
2021.26585	India	Angola
2021.26614	India	France
2021.2663699999998	India	USA
2021.2675299999999	India	USA
2021.26767	Kenya	Botswana
2021.26859	India	United Kingdom
2021.26859	South Africa	India
2021.26872	India	Portugal
2021.26904	India	Gambia
2021.2690699999998	India	USA
2021.26966	India	Seychelles
2021.27115	India	Zimbabwe
2021.27133	India	Germany
2021.27135	India	Ghana
2021.27135	Nigeria	Burkina Faso
2021.2715699999999	India	Denmark
2021.2726599999999	India	Togo
2021.27432	Kenya	USA
2021.27459	India	United Kingdom
2021.27569	India	Burundi
2021.2768199999998	India	Morocco
2021.27684	India	Malawi
2021.27697	South Africa	USA
2021.27756	Germany	United Kingdom
2021.2780699999998	United Kingdom	USA
2021.2783499999998	India	South Africa
2021.27912	India	United Kingdom
2021.27954	India	USA
2021.27955	India	South Africa
2021.2798699999998	India	USA
2021.28062	India	USA
2021.2819499999998	India	Fiji
2021.2828399999999	India	United Kingdom
2021.2831099999999	India	Nigeria
2021.2846299999999	India	United Kingdom
2021.2849099999999	India	United Kingdom
2021.28503	India	Uganda
2021.28503	India	USA
2021.28506	United Kingdom	Barbados
