EventTime	Origin	Destination
2020.652531	United Kingdom	USA
2020.658691	United Kingdom	France
2020.662491	United Kingdom	USA
2020.668181	United Kingdom	Qatar
2020.686931	Ghana	United Kingdom
2020.699021	United Kingdom	USA
2020.705201	United Kingdom	Philippines
2020.705951	United Kingdom	USA
2020.727221	Qatar	Turkey
2020.732051	United Kingdom	Israel
2020.751101	USA	Finland
2020.751511	United Kingdom	Malaysia
2020.756841	United Kingdom	Germany
2020.7652209999999	United Kingdom	Germany
2020.766471	United Kingdom	Sweden
2020.770241	France	Bangladesh
2020.781821	United Kingdom	USA
2020.788881	Sweden	USA
2020.7976409999999	United Kingdom	South Africa
2020.800331	United Kingdom	Canada
2020.806061	United Kingdom	Bangladesh
2020.808611	United Kingdom	Kenya
2020.810151	United Kingdom	Germany
2020.812721	United Kingdom	Spain
2020.812891	Germany	Belgium
2020.814281	Ghana	Nigeria
2020.819871	United Kingdom	Israel
2020.824351	United Kingdom	Senegal
2020.829451	United Kingdom	Turkey
2020.835231	Germany	Turkey
2020.838031	United Kingdom	Israel
2020.838341	United Kingdom	Democratic Republic of the Congo
2020.838921	United Kingdom	Egypt
2020.844971	United Kingdom	Sweden
2020.847241	United Kingdom	Ghana
2020.847361	United Kingdom	Germany
2020.847751	United Kingdom	USA
2020.850301	United Kingdom	Switzerland
2020.852971	United Kingdom	Kenya
2020.852971	United Kingdom	New Zealand
2020.854121	United Kingdom	Morocco
2020.855031	Ghana	South Africa
2020.856261	United Kingdom	Gabon
2020.857251	United Kingdom	Reunion
2020.860071	United Kingdom	Turkey
2020.860671	United Kingdom	Ghana
2020.861351	Nigeria	Kenya
2020.862521	United Kingdom	France
2020.862881	Ghana	Angola
2020.866251	United Kingdom	Kenya
2020.868561	United Kingdom	Pakistan
2020.870001	United Kingdom	Spain
2020.876301	United Kingdom	Israel
2020.876931	United Kingdom	India
2020.877651	Sweden	Finland
2020.880371	Nigeria	United Kingdom
2020.881741	Germany	Finland
2020.883601	Nigeria	Malawi
2020.884991	United Kingdom	France
2020.886071	United Kingdom	France
2020.889891	United Kingdom	France
2020.890181	Morocco	Ghana
2020.899931	United Kingdom	Togo
2020.904441	United Kingdom	Germany
2020.904651	United Kingdom	Gambia
2020.906391	United Kingdom	Ghana
2020.906561	United Kingdom	Republic of the Congo
2020.908641	United Kingdom	Germany
2020.909791	United Kingdom	Morocco
2020.913271	United Kingdom	Sweden
2020.914421	Germany	Sweden
2020.915081	United Kingdom	Angola
2020.917201	United Kingdom	Guinea
2020.920061	USA	Norway
2020.920081	United Kingdom	Kenya
2020.920291	United Kingdom	Turkey
2020.920701	United Kingdom	Portugal
2020.921791	Germany	Turkey
2020.922491	United Kingdom	Austria
2020.923451	United Kingdom	USA
2020.924661	United Kingdom	Australia
2020.926521	India	France
2020.928111	United Kingdom	Kenya
2020.929021	United Kingdom	Belgium
2020.930111	Ghana	Togo
2020.930141	Germany	United Kingdom
2020.931031	United Kingdom	Reunion
2020.932981	Germany	United Kingdom
2020.933271	Ghana	Togo
2020.933431	Belgium	Netherlands
2020.933891	Angola	Ghana
2020.935841	Sweden	Turkey
2020.938351	United Kingdom	Switzerland
2020.938571	United Kingdom	Morocco
2020.9388509999999	United Kingdom	Sweden
2020.938871	United Kingdom	Spain
2020.938921	France	United Kingdom
2020.939491	United Kingdom	Angola
2020.942231	France	Germany
2020.942281	United Kingdom	Ghana
2020.942441	United Kingdom	Kenya
2020.942881	United Kingdom	South Africa
2020.943831	Ghana	Nigeria
2020.944361	United Kingdom	Germany
2020.945131	United Kingdom	India
2020.945841	France	Luxembourg
2020.946271	Sweden	United Kingdom
2020.947171	United Kingdom	France
2020.948511	Ghana	Togo
2020.949101	France	Luxembourg
2020.949971	United Kingdom	United Arab Emirates
2020.951141	Nigeria	Ghana
2020.951541	Spain	USA
2020.952231	United Kingdom	Spain
2020.953291	Germany	Netherlands
2020.953831	United Kingdom	Australia
2020.954781	United Kingdom	Germany
2020.954791	Ghana	Nigeria
2020.955751	United Kingdom	Qatar
2020.958221	Sweden	Turkey
2020.958371	Ghana	Kenya
2020.958681	United Kingdom	USA
2020.958751	United Kingdom	USA
2020.958881	United Kingdom	Kenya
2020.960041	Germany	France
2020.960281	France	Belgium
2020.961321	United Kingdom	Gabon
2020.962721	United Kingdom	Israel
2020.962991	United Kingdom	Sweden
2020.962991	United Kingdom	Netherlands
2020.963601	United Kingdom	Ghana
2020.963601	France	Switzerland
2020.964971	Germany	Netherlands
2020.965411	Nigeria	Kenya
2020.965731	United Kingdom	Canada
2020.966331	Sweden	Finland
2020.967561	Germany	France
2020.967701	Ghana	Coted Ivoire
2020.968471	United Kingdom	Australia
2020.968471	United Kingdom	Australia
2020.968471	United Kingdom	South Korea
2020.968591	United Kingdom	Spain
2020.969401	France	USA
2020.970351	France	Italy
2020.971211	United Kingdom	United Arab Emirates
2020.971211	France	United Kingdom
2020.971901	France	Luxembourg
2020.972151	Ghana	Egypt
2020.972221	Sweden	USA
2020.972661	United Kingdom	Guinea
2020.973921	Ghana	Rwanda
2020.973941	United Kingdom	Germany
2020.973951	Nigeria	Gabon
2020.973951	France	United Kingdom
