EventTime	Origin	Destination
2020.8360400000001	UNKNOWN	United Kingdom
2020.8367600000001	United Kingdom	India
2020.83696	United Kingdom	Spain
2020.8382800000002	United Kingdom	Latvia
2020.8387300000002	United Kingdom	Poland
2020.84355	United Kingdom	Germany
2020.8440600000001	United Kingdom	Italy
2020.84425	United Kingdom	Sweden
2020.8449400000002	United Kingdom	India
2020.8456700000002	United Kingdom	Romania
2020.8482800000002	United Kingdom	France
2020.8489000000002	United Kingdom	Netherlands
2020.85517	United Kingdom	Spain
2020.85552	United Kingdom	Spain
2020.85561	United Kingdom	Iraq
2020.8556700000001	United Kingdom	France
2020.86092	United Kingdom	Spain
2020.8622500000001	United Kingdom	Russia
2020.8629500000002	United Kingdom	India
2020.86303	United Kingdom	Brazil
2020.8638500000002	United Kingdom	USA
2020.8642	United Kingdom	Netherlands
2020.8653000000002	United Kingdom	Italy
2020.8654700000002	United Kingdom	Spain
2020.8673000000001	United Kingdom	Bulgaria
2020.8673600000002	United Kingdom	France
2020.86812	United Kingdom	Ireland
2020.87111	United Kingdom	Spain
2020.87418	United Kingdom	India
2020.87694	United Kingdom	Netherlands
2020.87793	United Kingdom	France
2020.87976	Belgium	France
2020.88156	United Kingdom	India
2020.8824200000001	United Kingdom	Turkey
2020.88501	USA	United Kingdom
2020.88759	United Kingdom	Italy
2020.88785	United Kingdom	France
2020.8884500000001	United Kingdom	Portugal
2020.88859	United Kingdom	Turkey
2020.89426	United Kingdom	India
2020.8943800000002	United Kingdom	Poland
2020.89454	United Kingdom	Turkey
2020.8960100000002	United Kingdom	France
2020.89631	United Kingdom	France
2020.89792	United Kingdom	Poland
2020.8984600000001	United Kingdom	Pakistan
2020.89994	United Kingdom	Bulgaria
2020.9002500000001	United Kingdom	Poland
2020.90221	United Kingdom	Poland
2020.90297	United Kingdom	Portugal
2020.90452	United Kingdom	Poland
2020.9046700000001	United Kingdom	Italy
2020.90495	United Kingdom	Bulgaria
2020.90563	United Kingdom	Latvia
2020.9068300000001	United Kingdom	France
2020.90707	United Kingdom	India
2020.9070800000002	United Kingdom	India
2020.90712	Slovakia	Germany
2020.90715	United Kingdom	USA
2020.90756	United Kingdom	France
2020.9083400000002	United Kingdom	Italy
2020.90848	United Kingdom	France
2020.90902	United Kingdom	Poland
2020.90966	United Kingdom	Poland
2020.90981	United Kingdom	India
2020.9117800000001	United Kingdom	Spain
2020.91234	Brazil	Serbia
2020.9124800000002	USA	France
2020.91445	United Kingdom	Poland
2020.91577	United Kingdom	Italy
2020.91597	India	Philippines
2020.9173600000001	United Kingdom	Netherlands
2020.9173700000001	Slovakia	Germany
2020.91743	United Kingdom	Iran
2020.91784	United Kingdom	Jordan
2020.91821	United Kingdom	Portugal
2020.9188900000001	United Kingdom	Turkey
2020.91931	United Kingdom	Poland
2020.9197800000002	Netherlands	United Kingdom
2020.92017	United Kingdom	USA
2020.92063	United Kingdom	France
2020.92064	United Kingdom	Portugal
2020.9208600000002	United Kingdom	Belgium
2020.92121	United Kingdom	Poland
2020.92148	United Kingdom	France
2020.92164	United Kingdom	France
2020.92198	United Kingdom	Belgium
2020.922	United Kingdom	Italy
2020.922	United Kingdom	USA
2020.92352	United Kingdom	Kazakhstan
2020.92359	United Kingdom	Romania
2020.92416	United Kingdom	Italy
2020.9244700000002	United Kingdom	Spain
2020.92504	United Kingdom	Turkey
2020.92587	Italy	Portugal
2020.9262	United Kingdom	India
2020.92632	United Kingdom	Croatia
2020.92633	France	Russia
2020.92638	United Kingdom	Bulgaria
2020.92641	United Kingdom	Spain
2020.92657	United Kingdom	France
2020.92714	France	United Kingdom
2020.9280700000002	United Kingdom	France
2020.9280700000002	United Kingdom	Argentina
2020.9284300000002	Slovakia	Germany
2020.9287100000001	United Kingdom	Germany
2020.9291400000002	USA	Ireland
2020.92992	Netherlands	United Kingdom
2020.93028	United Kingdom	Poland
2020.9305000000002	United Kingdom	Brazil
2020.93058	United Kingdom	Spain
2020.93094	United Kingdom	Spain
2020.93098	United Kingdom	France
2020.93116	United Kingdom	France
2020.9317	United Kingdom	Spain
2020.9317700000001	United Kingdom	Poland
2020.9322200000001	United Kingdom	USA
2020.9339300000001	United Kingdom	Italy
2020.93398	United Kingdom	Greece
2020.9341100000001	United Kingdom	Poland
2020.93426	United Kingdom	Finland
2020.9343900000001	United Kingdom	Portugal
2020.9344	Slovakia	Germany
2020.9353600000002	United Kingdom	Spain
2020.9354700000001	United Kingdom	Ireland
2020.9356	Turkey	Germany
2020.93584	United Kingdom	Spain
2020.93669	United Kingdom	Poland
2020.9370900000001	United Kingdom	Italy
2020.93804	United Kingdom	Spain
2020.93918	Slovakia	Germany
2020.93999	United Kingdom	Spain
2020.94012	Slovakia	Germany
2020.9405100000001	Poland	India
2020.94117	United Kingdom	Brazil
2020.9416600000002	United Kingdom	Italy
2020.9416700000002	United Kingdom	Portugal
2020.9419	United Kingdom	Austria
2020.94196	United Kingdom	Portugal
2020.9421	United Kingdom	USA
2020.94218	United Kingdom	Ireland
2020.94236	United Kingdom	Spain
2020.94245	United Kingdom	Brazil
2020.94296	United Kingdom	France
2020.94326	United Kingdom	Slovakia
2020.94332	USA	United Kingdom
2020.9434	United Kingdom	Brazil
2020.94379	United Kingdom	Germany
2020.9439300000001	United Kingdom	Italy
2020.94396	United Kingdom	Poland
2020.94488	United Kingdom	France
2020.94513	United Kingdom	France
2020.94531	United Kingdom	USA
2020.94606	United Kingdom	Netherlands
2020.94651	United Kingdom	Ireland
2020.9470900000001	United Kingdom	Estonia
2020.9474500000001	United Kingdom	Italy
2020.94748	United Kingdom	Italy
2020.94804	France	Belgium
2020.9480600000002	United Kingdom	Germany
2020.94846	United Kingdom	India
2020.9486900000002	United Kingdom	Spain
2020.94877	United Kingdom	Sweden
2020.9490600000001	USA	Brazil
2020.9492500000001	United Kingdom	Romania
2020.9498600000002	United Kingdom	France
2020.9502	United Kingdom	Greece
2020.9502400000001	United Kingdom	Sweden
2020.95038	United Kingdom	Portugal
2020.95052	Slovakia	Germany
2020.95079	India	Serbia
2020.9508	United Kingdom	France
2020.9513100000001	Germany	France
2020.9520400000001	United Kingdom	India
2020.95224	United Kingdom	Latvia
2020.95243	USA	United Kingdom
2020.9533700000002	United Kingdom	Belgium
2020.9535500000002	Slovakia	Kazakhstan
2020.95359	United Kingdom	France
2020.95421	United Kingdom	Spain
2020.95485	United Kingdom	India
2020.9549200000001	USA	United Kingdom
2020.95525	United Kingdom	Chile
2020.9553600000002	United Kingdom	France
2020.95585	United Kingdom	USA
2020.95587	United Kingdom	India
2020.95611	United Kingdom	Bulgaria
2020.95614	United Kingdom	Spain
2020.9562600000002	United Kingdom	Portugal
2020.9562700000001	USA	United Kingdom
2020.9562700000001	United Kingdom	Switzerland
2020.95637	United Kingdom	Poland
2020.95685	United Kingdom	Belgium
2020.9572500000002	United Kingdom	Netherlands
2020.95773	United Kingdom	Poland
2020.9578800000002	Israel	Poland
2020.95853	United Kingdom	India
2020.95857	United Kingdom	Portugal
2020.95867	United Kingdom	USA
2020.95873	United Kingdom	Romania
2020.95898	Slovakia	Germany
2020.95939	United Kingdom	Spain
2020.95957	United Kingdom	Spain
2020.9595800000002	Slovakia	India
2020.9597800000001	United Kingdom	Sweden
2020.95988	United Kingdom	Ireland
2020.9603200000001	United Kingdom	Turkey
2020.9604800000002	United Kingdom	Poland
2020.9605000000001	Israel	France
2020.96062	United Kingdom	France
2020.96072	United Kingdom	India
2020.9607500000002	United Kingdom	Greece
2020.9608400000002	United Kingdom	India
2020.9613000000002	United Kingdom	Spain
2020.96172	United Kingdom	Portugal
2020.96173	United Kingdom	India
2020.96189	United Kingdom	Sweden
2020.9620400000001	United Kingdom	Poland
2020.96264	United Kingdom	Poland
2020.96273	United Kingdom	Poland
2020.96288	United Kingdom	France
2020.9629400000001	Slovakia	Austria
2020.96352	United Kingdom	Brazil
2020.9641100000001	United Kingdom	Poland
2020.9644500000002	United Kingdom	Portugal
2020.96448	United Kingdom	Spain
2020.96459	Germany	Ukraine
2020.96469	India	Turkey
2020.9648200000001	United Kingdom	Switzerland
2020.96497	Italy	Albania
2020.96502	United Kingdom	Turkey
2020.96502	United Kingdom	Bangladesh
2020.9660000000001	United Kingdom	France
2020.96605	United Kingdom	Romania
2020.96615	United Kingdom	Sweden
2020.96621	United Kingdom	Spain
2020.96641	United Kingdom	Ireland
2020.9666300000001	Slovakia	Austria
2020.9671600000001	United Kingdom	Spain
2020.96718	United Kingdom	Italy
2020.96718	United Kingdom	Portugal
2020.96718	Poland	Portugal
2020.96719	United Kingdom	Netherlands
2020.96719	United Kingdom	Portugal
2020.9672	United Kingdom	Portugal
2020.9675100000002	United Kingdom	Poland
2020.96755	United Kingdom	Spain
2020.9677800000002	United Kingdom	France
2020.9678000000001	United Kingdom	France
2020.96817	United Kingdom	Bulgaria
