EventTime	Origin	Destination
2021.8621100000003	UNKNOWN	South Africa
2021.86253	South Africa	USA
2021.8631900000003	USA	United Kingdom
2021.8635000000002	USA	France
2021.8638500000002	USA	United Kingdom
2021.8641400000001	USA	Brazil
2021.8653700000002	USA	Brazil
2021.8654800000002	USA	Greece
2021.8656300000002	USA	Thailand
2021.8656500000002	USA	Turkey
2021.8665700000001	USA	Brazil
2021.8667100000002	USA	Turkey
2021.8673300000003	USA	United Kingdom
2021.8673700000002	Spain	Italy
2021.8674100000003	Spain	Germany
2021.8675600000001	USA	Germany
2021.8676300000002	United Kingdom	Italy
2021.8682000000001	USA	Italy
2021.8685500000001	United Kingdom	Germany
2021.8687400000001	USA	France
2021.86884	USA	Sweden
2021.8688900000002	United Kingdom	Portugal
2021.8694200000002	France	USA
2021.8704100000002	Denmark	Italy
2021.8706700000002	USA	Italy
2021.8706900000002	USA	Peru
2021.8707800000002	USA	United Kingdom
2021.8710300000002	Italy	United Kingdom
2021.8715100000002	Turkey	Germany
2021.8716000000002	United Kingdom	Italy
2021.8716400000003	USA	France
2021.8721100000002	United Kingdom	Italy
2021.8725500000003	United Kingdom	Italy
2021.87307	USA	Brazil
2021.87469	USA	France
2021.8751300000001	France	USA
2021.87551	United Kingdom	France
2021.8756600000002	USA	India
2021.8761500000003	USA	Switzerland
2021.8762400000003	USA	Spain
2021.8765500000002	USA	United Kingdom
2021.8765600000002	United Kingdom	France
2021.8775400000002	United Kingdom	Italy
2021.87757	Italy	Denmark
2021.87785	France	Germany
2021.8778900000002	USA	Israel
2021.8779700000002	USA	Turkey
2021.87821	USA	United Kingdom
2021.8782400000002	United Kingdom	Poland
2021.87829	USA	Turkey
2021.8784300000002	USA	United Kingdom
2021.8791600000002	USA	United Kingdom
2021.8793500000002	United Kingdom	France
2021.8794900000003	United Kingdom	Italy
2021.87956	USA	Canada
2021.8798100000001	United Kingdom	Italy
2021.87992	USA	Canada
2021.8803000000003	Spain	Brazil
2021.8805900000002	Germany	France
2021.8806000000002	Brazil	Belgium
2021.8810700000001	USA	Austria
2021.8811100000003	USA	Turkey
2021.8812900000003	France	United Kingdom
2021.8817300000003	USA	Belgium
2021.8817600000002	Spain	Switzerland
2021.8818	Turkey	USA
2021.8818200000003	USA	Germany
2021.8819300000002	United Kingdom	Italy
2021.8824100000002	USA	South Africa
2021.8824900000002	United Kingdom	Morocco
2021.8825500000003	United Kingdom	Brazil
2021.8830600000001	USA	United Kingdom
2021.8838600000001	USA	South Africa
2021.8838600000001	Germany	Austria
2021.8840000000002	USA	South Africa
2021.8840100000002	USA	South Africa
2021.8841900000002	USA	Turkey
2021.8848800000003	USA	South Africa
2021.8849000000002	USA	South Africa
2021.8855300000002	USA	United Kingdom
2021.8855800000001	USA	Brazil
2021.8858900000002	USA	Canada
2021.8859700000003	France	Germany
2021.8869100000002	United Kingdom	Italy
2021.8869800000002	France	Spain
2021.88703	Australia	USA
2021.8872400000002	USA	France
2021.8873300000002	USA	Brazil
2021.8873500000002	USA	Mexico
2021.8879800000002	Turkey	USA
