EventTime	Origin	Destination
2020.52017	UNKNOWN	South Africa
2020.6311	UNKNOWN	South Africa
2020.68785	South Africa	Zimbabwe
2020.69086	South Africa	Angola
2020.70487	Angola	South Africa
2020.70865	Angola	South Africa
2020.73219	South Africa	Angola
2020.73713	South Africa	Mozambique
2020.73765	South Africa	Angola
2020.73765	South Africa	Angola
2020.7457100000001	Angola	South Africa
2020.75384	South Africa	Mozambique
2020.75636	South Africa	Mozambique
2020.75725	South Africa	Angola
2020.76484	Zimbabwe	South Africa
2020.78683	South Africa	Angola
2020.78684	South Africa	Angola
2020.78956	Angola	South Africa
2020.79815	South Africa	Bangladesh
2020.8020000000001	South Africa	Mayotte
2020.81276	South Africa	Zimbabwe
2020.81465	South Africa	France
2020.81643	South Africa	Sweden
2020.82559	South Africa	Botswana
2020.83158	Mayotte	Madagascar
2020.8387500000001	Angola	South Africa
2020.84052	South Africa	Zimbabwe
2020.84601	South Africa	Zambia
2020.8465	South Africa	Kenya
2020.84872	South Africa	Angola
2020.85241	Angola	South Africa
2020.85455	Zimbabwe	South Africa
2020.85544	South Africa	Angola
2020.85891	South Africa	Zimbabwe
2020.85918	South Africa	Botswana
2020.85927	South Africa	Malawi
2020.86061	South Africa	Mozambique
2020.86146	South Africa	Philippines
2020.8668	Zimbabwe	South Africa
2020.8689100000001	South Africa	Malawi
2020.8726100000001	Mozambique	South Africa
2020.87416	South Africa	Eswatini
2020.87606	South Africa	Botswana
2020.87751	South Africa	Botswana
2020.87903	South Africa	Malawi
2020.8826900000001	South Africa	USA
2020.88517	Mayotte	South Africa
2020.88553	South Africa	Norway
2020.88598	South Africa	Zimbabwe
2020.89041	South Africa	Zimbabwe
2020.89129	South Africa	India
2020.89149	South Africa	Finland
2020.89388	South Africa	Malawi
2020.8957	South Africa	USA
2020.89615	South Africa	Eswatini
2020.89615	South Africa	Eswatini
2020.89731	South Africa	Botswana
2020.9000800000001	South Africa	Turkey
2020.9011500000001	South Africa	Israel
2020.90162	South Africa	Eswatini
2020.90704	Malawi	South Africa
2020.90706	Zimbabwe	South Africa
2020.9078200000001	South Africa	France
2020.9082	South Africa	Mozambique
2020.90963	South Africa	Turkey
2020.90979	South Africa	Botswana
2020.90983	Norway	USA
2020.91105	South Africa	Zimbabwe
2020.91252	Botswana	South Africa
2020.9181	South Africa	USA
2020.91811	South Africa	Mozambique
2020.92044	South Africa	Mozambique
2020.92069	South Africa	Angola
2020.9207900000001	South Africa	Botswana
2020.92111	South Africa	Switzerland
2020.92249	India	France
