EventTime	Origin	Destination
2019.0320199999999	UNKNOWN	China
2019.93007	UNKNOWN	China
2019.93168	India	Philippines
2019.9358	United Kingdom	Japan
2019.93642	China	USA
2019.93763	USA	Indonesia
2019.9378	USA	South Africa
2019.9384499999999	China	France
2019.9400699999999	USA	Ukraine
2019.94163	United Kingdom	Kenya
2019.9455	USA	Kenya
2019.94599	South Africa	Ecuador
2019.9473	China	Thailand
2019.94859	South Africa	Bolivia
2019.94887	Iran	China
2019.95039	Germany	Egypt
2019.9506999999999	South Africa	United Kingdom
2019.95183	United Kingdom	South Africa
2019.9526799999999	USA	France
2019.95528	USA	Coted Ivoire
2019.95674	China	France
2019.95678	Iran	China
2019.95712	South Africa	Egypt
2019.95816	China	United Kingdom
2019.9597899999999	South Africa	Bulgaria
2019.9598899999999	United Kingdom	Japan
2019.9631299999999	USA	Mexico
2019.96865	China	Thailand
2019.9709599999999	USA	Kenya
2019.9714	USA	Serbia
2019.97146	South Africa	Netherlands
2019.9718599999999	China	Thailand
2019.97188	China	Thailand
2019.97188	United Kingdom	Australia
2019.97229	United Kingdom	Armenia
2019.97371	China	Thailand
2019.97488	Thailand	Malaysia
2019.97514	Kenya	United Kingdom
2019.97554	USA	Turkey
2019.97611	USA	Morocco
2019.97672	Egypt	USA
2019.97716	United Kingdom	Israel
2019.9796099999999	Iran	United Arab Emirates
2019.97998	Democratic Republic of the Congo	India
2019.98007	India	Singapore
2019.98095	USA	France
2019.98172	Democratic Republic of the Congo	Latvia
2019.98174	USA	France
2019.98281	South Africa	Egypt
2019.9834	Democratic Republic of the Congo	Morocco
2019.9848	China	Japan
2019.98548	China	United Arab Emirates
2019.98554	China	Nepal
2019.98563	China	United Kingdom
2019.98602	China	Egypt
2019.9864499999999	South Africa	Armenia
2019.98687	United Kingdom	Japan
2019.9885199999999	China	United Arab Emirates
2019.98944	Iran	Tunisia
2019.99046	China	Iceland
2019.99135	Netherlands	Brazil
2019.99259	China	Spain
2019.99269	China	France
2019.99337	USA	Egypt
2019.99454	United Kingdom	Bangladesh
2019.9946499999999	USA	France
2019.99484	China	USA
2019.99514	Democratic Republic of the Congo	Belgium
2019.99517	China	United Kingdom
2019.99624	Kenya	Germany
2019.99764	USA	Qatar
2019.99883	South Africa	United Kingdom
2019.99977	China	Mali
2020.00056	Kenya	South Africa
2020.00124	China	Bahrain
2020.0013	Thailand	China
2020.0019399999999	China	USA
2020.00195	Iran	China
2020.00309	Kenya	USA
2020.00481	Kenya	Portugal
2020.00611	United Kingdom	South Korea
2020.0068099999999	Thailand	China
2020.00742	China	USA
2020.00745	China	Hong Kong
2020.00787	South Africa	Kenya
2020.00806	USA	United Kingdom
2020.00882	Democratic Republic of the Congo	Brazil
2020.0091499999999	China	Nigeria
2020.01016	China	Australia
2020.01017	China	USA
2020.01134	Spain	South Africa
2020.01218	Bahrain	Hong Kong
2020.01219	Kenya	Luxembourg
2020.01264	South Africa	Czech Republic
2020.01272	Brazil	Chile
2020.0128399999999	South Africa	USA
2020.01289	Malaysia	Singapore
2020.0129	China	USA
2020.01292	China	Hong Kong
2020.01292	China	Taiwan
2020.01292	China	Singapore
2020.0129299999999	China	Canada
2020.0129299999999	China	Canada
2020.01295	China	Japan
2020.01322	South Africa	Nigeria
2020.01382	Nigeria	United Kingdom
2020.0139	United Kingdom	Canada
2020.01514	Spain	Panama
2020.01564	China	Australia
2020.01564	China	Taiwan
2020.01564	China	Australia
2020.01564	Luxembourg	China
2020.01564	Germany	China
2020.01565	China	Australia
2020.01566	China	Australia
2020.01567	China	Australia
2020.01567	Australia	France
2020.0174299999999	South Africa	Turkey
2020.01821	China	Japan
2020.01837	China	South Korea
2020.01837	China	Singapore
2020.01837	South Africa	Australia
2020.01838	China	Hong Kong
2020.01839	China	Taiwan
2020.0184	China	Thailand
2020.0184	China	Australia
2020.0184	China	Japan
2020.01841	China	Australia
2020.0184199999999	China	Thailand
2020.01843	China	Japan
2020.01863	USA	United Kingdom
2020.01947	South Africa	USA
2020.02089	Kenya	Slovenia
2020.0211	China	Philippines
2020.0211199999999	Malaysia	Sri Lanka
2020.02113	China	Thailand
2020.02136	USA	Djibouti
2020.02137	Czech Republic	Saudi Arabia
2020.02224	China	United Kingdom
2020.0228399999999	China	Kenya
2020.02362	Egypt	Indonesia
2020.02384	China	Singapore
2020.02386	China	Singapore
2020.02386	China	Hong Kong
2020.02386	China	Hong Kong
2020.02387	China	Singapore
2020.02387	China	Cambodia
2020.02388	China	India
2020.0239	China	USA
2020.0243	Egypt	Democratic Republic of the Congo
2020.02458	Iran	Canada
2020.02467	South Africa	Kenya
2020.02556	USA	Senegal
2020.02565	South Africa	Nigeria
2020.02577	USA	Belarus
2020.02579	South Africa	Kenya
2020.0258999999999	China	Italy
2020.0258999999999	China	Hong Kong
2020.02649	South Africa	United Arab Emirates
2020.02659	China	Australia
2020.02659	Germany	China
2020.02665	China	Taiwan
2020.02682	USA	South Africa
2020.02775	China	Spain
2020.02786	USA	Canada
2020.02787	Iran	Kenya
2020.0285999999999	China	Australia
2020.0293199999999	China	Japan
2020.0293199999999	USA	China
2020.0293199999999	South Africa	Brazil
2020.02933	China	Singapore
2020.02933	China	USA
2020.02934	Egypt	Philippines
2020.02935	China	Thailand
2020.02935	China	Italy
2020.02935	China	USA
2020.02935	China	USA
2020.02935	China	Philippines
2020.02936	China	France
2020.02939	China	Finland
2020.02991	China	Australia
2020.03009	China	France
2020.03129	South Africa	Mozambique
2020.03161	South Africa	Peru
2020.03206	China	South Korea
2020.03207	Iran	China
2020.03207	China	Hong Kong
2020.03207	China	Australia
2020.03208	China	Hong Kong
2020.03208	Hong Kong	China
2020.0324	Spain	United Kingdom
2020.03249	USA	Romania
2020.03335	France	Algeria
2020.0348	China	Taiwan
2020.0348	China	South Korea
2020.0348	China	South Korea
2020.0348	China	Taiwan
2020.0348	China	Singapore
2020.0348	Germany	China
2020.0348099999999	China	Australia
2020.0348099999999	China	India
2020.03482	China	USA
2020.03482	China	Hong Kong
2020.03483	China	Sweden
2020.03511	China	Coted Ivoire
2020.0368	Kenya	Senegal
2020.03695	USA	Madagascar
2020.03698	Egypt	Netherlands
2020.03753	Singapore	China
2020.03767	South Africa	Nigeria
2020.0379599999999	Egypt	Netherlands
2020.04028	China	Singapore
2020.0403	USA	Australia
2020.04056	United Arab Emirates	Lithuania
2020.04093	South Africa	Switzerland
2020.04146	South Africa	United Kingdom
2020.04217	United Kingdom	Qatar
2020.04298	United Kingdom	Georgia
2020.0430099999999	Egypt	Saudi Arabia
2020.04303	China	Belgium
2020.04304	China	Thailand
2020.04312	Iran	Kuwait
2020.04428	United Kingdom	Luxembourg
2020.04462	Kenya	Uganda
2020.04574	Egypt	Thailand
2020.04588	South Africa	United Arab Emirates
2020.0464299999999	Kenya	Chile
2020.04673	USA	Uganda
2020.04711	Democratic Republic of the Congo	Senegal
2020.04761	Egypt	Indonesia
2020.04825	United Kingdom	Morocco
2020.0484999999999	China	Australia
2020.04884	USA	United Kingdom
2020.04892	USA	Peru
2020.04927	South Africa	USA
2020.04951	United Kingdom	Uganda
2020.05025	United Kingdom	Egypt
2020.05056	Spain	United Kingdom
2020.05123	China	South Korea
2020.05125	Italy	Taiwan
2020.05158	South Africa	USA
2020.05185	Germany	Egypt
2020.05191	China	Ghana
2020.05355	USA	Senegal
2020.0538099999999	United Kingdom	Senegal
2020.05397	China	Thailand
2020.05433	United Kingdom	Latvia
2020.05466	USA	Canada
2020.05502	USA	South Africa
2020.05541	South Africa	Austria
2020.05622	France	Senegal
2020.05671	China	Australia
2020.0576899999999	Kenya	Panama
2020.05794	USA	Mali
2020.05973	Kenya	Oman
2020.05974	South Africa	India
2020.06045	Nigeria	Mali
2020.06047	Peru	Nigeria
2020.06064	Iran	USA
2020.06146	Spain	Mexico
2020.06163	USA	Guatemala
2020.06197	Peru	United Kingdom
2020.06217	Egypt	Saudi Arabia
2020.06222	USA	Hungary
2020.06242	South Africa	USA
2020.06247	Spain	USA
2020.06329	South Africa	Costa Rica
2020.06438	China	Ghana
2020.06481	USA	Peru
2020.06486	United Kingdom	USA
2020.06518	Peru	Egypt
2020.06532	Egypt	Nigeria
2020.06583	USA	Spain
2020.06634	USA	Democratic Republic of the Congo
2020.06657	United Kingdom	Senegal
2020.06852	United Kingdom	South Africa
2020.06981	Egypt	Argentina
2020.0699	USA	Germany
2020.07035	China	United Kingdom
